network,s_init,s_temporal,policy,PR,observedPct,expectedPct,deficitPP,K95,C,R2,shuffleR2,matchedR2,peakSpeedMps,endpointRmsM,targetSeparationScatter,nearZero,missingWindow,boundaryPeak,multipleLargePeak,undefinedC,prepPC75,movePC75,predictionEvaluable
2,0.10000000000000001,0.050000000000000003,4,6.6345544001241716,32.867776762259282,46.080656613952812,13.212879851693529,6,-1.0706458842270292,0.86225821209410114,-0.010548550190609074,0.9138485790673101,0.2866838750767205,0.034065290727521243,2.0308331609270658,0,0,11,109,0,6,6,1
2,0.10000000000000001,0.20000000000000001,1,3.5322162331162752,100.00000000000013,44.245901450852308,-55.75409854914782,6,-3.9322413269485068,0.71185106781308893,-0.010275500309199881,0.69917898200853168,0.42307731882361832,0.05102496199743542,2.9300602628227495,0,0,0,14,0,28,21,1
2,0.10000000000000001,0.20000000000000001,4,6.6435596348703712,33.342209690092552,44.245901450852308,10.903691760759756,6,-4.4770152357128108,0.62979906512726092,-0.010101858887155091,0.64828236786436966,0.40546464031851914,0.11112696901976743,0.55543545924682003,0,0,23,74,0,26,24,1
3,0.050000000000000003,0.10000000000000001,1,3.6303928529548002,99.999999999999829,41.503444964096289,-58.49655503590354,6,-4.7564488129518629,0.92277696250372598,-0.010554704522388936,0.90715631812521969,0.42219276294959462,0.024660301059485738,5.9710170936224971,0,0,0,0,0,15,8,1
3,0.050000000000000003,0.10000000000000001,4,6.8908558899121335,25.488272505771757,41.503444964096289,16.015172458324532,6,-5.5566663840449797,0.76986480987260963,-0.011376013300832377,0.83910666820826096,0.3230613428959942,0.054553381405439236,1.6486870289858722,0,0,33,63,0,9,12,1
3,0.10000000000000001,0.10000000000000001,1,3.6499845155618127,100.00000000000017,41.471401625918581,-58.528598374081589,6,-1.99381649576022,0.90863235868734427,-0.011072089452647371,0.88989266944554379,0.42215728654179485,0.024727754109329383,5.9496612882995379,0,0,0,0,0,16,9,1
3,0.10000000000000001,0.10000000000000001,2,3.6119000655551616,81.144912545921002,41.471401625918581,-39.673510920002421,6,-2.5516032768114387,0.89639430311643686,-0.011104998160467172,NaN,0.44297936690360878,0.058413804698508952,2.1429652636665528,0,0,4,35,0,13,9,1
3,0.10000000000000001,0.10000000000000001,3,5.7122849129553188,17.644431204405521,41.471401625918581,23.82697042151306,6,-2.010027161652173,0.96634041496574596,-0.010364070627683963,NaN,0.30555290175066163,0.02416565837367916,3.4980753393178823,0,0,0,51,0,7,7,1
3,0.10000000000000001,0.10000000000000001,4,6.9002056754441723,25.299518670503662,41.471401625918581,16.171882955414919,6,-2.4263627176551674,0.75739837612946803,-0.011292121597988203,0.81938170330058335,0.32455984518058645,0.055981788305021978,1.6162644016494105,0,0,35,68,0,10,13,1
3,0.20000000000000001,0.10000000000000001,1,3.7030078666751383,99.999999999999929,41.265378639457843,-58.734621360542086,6,-0.74228018001128471,0.89622462932774338,-0.011075159851268723,0.87286152314369703,0.42189997936359336,0.02494682294147315,5.8888290868574389,0,0,0,0,0,17,11,1
3,0.20000000000000001,0.10000000000000001,4,6.9241533721885871,24.910634505171085,41.265378639457843,16.354744134286758,6,-0.99461845561696427,0.7352531123687327,-0.010945499551791582,0.7863179180768789,0.32928417528426113,0.061442738396449752,1.4562377039315872,0,0,38,72,0,13,15,1
3,0.10000000000000001,0.050000000000000003,1,3.6173488346665037,100.00000000000003,41.793675521215476,-58.206324478784552,6,-0.93162450820860665,0.99081497502137905,-0.01202114454784986,0.99081497502137905,0.42042975653595221,0.01244383111736942,11.570872341785583,0,0,0,0,0,5,2,1
3,0.10000000000000001,0.050000000000000003,4,6.8828269165438876,25.290046022337993,41.793675521215476,16.503629498877483,6,-1.229058219104306,0.91689761891124444,-0.011117821741889244,0.89536853295601837,0.30671187908713093,0.031258630854579632,2.8769497865833231,0,0,37,47,0,6,6,1
3,0.10000000000000001,0.20000000000000001,1,3.826078637882496,99.999999999999972,44.344527657810232,-55.655472342189739,7,-4.1938946985337751,0.73924094393400908,-0.010336626157244067,0.73008714941633035,0.42771310708990268,0.048866016988766608,3.1732315953484598,0,0,0,7,0,28,20,1
3,0.10000000000000001,0.20000000000000001,4,6.9402783443114258,25.823380814109736,44.344527657810232,18.521146843700496,7,-4.7981514281146227,0.58943035533103971,-0.010710149081734732,0.60571603859640721,0.39575398739440382,0.10517140560250625,0.87549380883354,0,0,34,87,0,26,23,1
4,0.050000000000000003,0.10000000000000001,1,2.7674852181589804,100,45.437374482803783,-54.562625517196217,6,-4.7583405390898257,0.95074946511339642,-0.012416253917210018,0.95074946511339642,0.4071932112217741,0.028820518107453851,4.9136428807323673,0,0,0,3,0,10,6,1
4,0.050000000000000003,0.10000000000000001,4,6.5846180150440548,31.055326171887533,45.437374482803783,14.38204831091625,6,-5.3851588269003843,0.8150719794568817,-0.011164481401306436,0.90687310194917758,0.28126899161968005,0.058807205702485599,1.3784576477597048,0,0,15,111,0,10,12,1
