network,s_init,s_temporal,policy,target,trial,fold,K95,capture,beforeCapture,d_precue,d_prego,ratio,C,undefinedC,moMs,peakMs,peakSpeedMps,nearZero,missingWindow,boundaryPeak,largePeakCount,denominatorGuard,peakPositionX_M,peakPositionY_M
4,0.20000000000000001,0.10000000000000001,1,5,8,1,50,0.95075730246534862,0.9485570094015362,5.7194498741919348,9.4279143954154705,1.648395318220615,-0.64839531822061502,0,54,188,0.38576866043706493,0,0,0,1,2.2737367544323206e-13,-0.0011502532296520651,0.23613837776593971
4,0.20000000000000001,0.10000000000000001,1,5,9,2,51,0.95151545368536539,0.94932883735200757,5.7025091102906282,10.753538267880774,1.8857555612625265,-0.88575556126252653,0,63,205,0.39294596276625121,0,0,0,1,2.2737367544323206e-13,0.0062612428578776025,0.23859125865399922
4,0.20000000000000001,0.10000000000000001,1,5,10,1,50,0.95075730246534862,0.9485570094015362,5.4096833474027193,8.9484498300139066,1.6541540891317066,-0.65415408913170658,0,62,202,0.37778608235282524,0,0,0,1,2.2737367544323206e-13,0.0024105165515500016,0.23681868015430299
4,0.20000000000000001,0.10000000000000001,1,5,11,1,50,0.95075730246534862,0.9485570094015362,5.2882187476619613,9.1890547456365201,1.7376464900774395,-0.73764649007743954,0,51,200,0.44201601652866979,0,0,0,1,2.2737367544323206e-13,-0.0026620665894806494,0.24648236216600672
4,0.20000000000000001,0.10000000000000001,1,5,12,2,51,0.95151545368536539,0.94932883735200757,5.1474156592841815,9.4820627199346141,1.8421016190585286,-0.84210161905852865,0,64,200,0.39801122413268042,0,0,0,1,2.2737367544323206e-13,0.0023142951059513805,0.2376545717337567
4,0.20000000000000001,0.10000000000000001,1,5,13,1,50,0.95075730246534862,0.9485570094015362,5.7566409409113781,8.3973699957916637,1.4587274214226416,-0.45872742142264156,0,55,208,0.45009077427440675,0,0,0,1,2.2737367544323206e-13,0.0031185482444964774,0.24872658601005121
4,0.20000000000000001,0.10000000000000001,1,5,14,2,51,0.95151545368536539,0.94932883735200757,5.8582122736070463,10.363199204360269,1.7690037028957626,-0.76900370289576259,0,49,195,0.45177089194998787,0,0,0,1,2.2737367544323206e-13,0.0048128008628746666,0.24597987908880103
4,0.20000000000000001,0.10000000000000001,1,5,15,1,50,0.95075730246534862,0.9485570094015362,5.9856242565048188,9.7496335881594725,1.6288415661180458,-0.62884156611804576,0,56,202,0.48708051674444669,0,0,0,1,2.2737367544323206e-13,0.00038573040833334016,0.25014612843004624
4,0.20000000000000001,0.10000000000000001,1,5,16,3,50,0.95139810739102681,0.94913610652811764,5.4996789686296133,12.076676288658604,2.1958874977147653,-1.1958874977147653,0,58,197,0.386642838098328,0,0,0,1,2.2737367544323206e-13,-0.0055401633219735458,0.23700236088288076
4,0.20000000000000001,0.10000000000000001,1,5,17,2,51,0.95151545368536539,0.94932883735200757,5.6398179741034715,12.034925990558985,2.13392099635487,-1.13392099635487,0,59,198,0.35289973455682533,0,0,0,1,2.2737367544323206e-13,0.0066163729102652891,0.23308734368646475
4,0.20000000000000001,0.10000000000000001,1,5,18,2,51,0.95151545368536539,0.94932883735200757,5.5670755666558396,8.7443676056717585,1.5707291020165779,-0.57072910201657789,0,60,209,0.3991389870602769,0,0,0,1,2.2737367544323206e-13,0.0039969960963722739,0.24151084521605021
4,0.20000000000000001,0.10000000000000001,1,5,19,1,50,0.95075730246534862,0.9485570094015362,5.2964358998835079,9.4697831266603227,1.7879538817544465,-0.78795388175444647,0,63,209,0.39465432582548388,0,0,0,1,2.2737367544323206e-13,0.00057209645746741922,0.24049240521892229
4,0.20000000000000001,0.10000000000000001,1,5,20,1,50,0.95075730246534862,0.9485570094015362,4.9230883199535596,9.1707135469009966,1.8627968768570671,-0.86279687685706707,0,58,200,0.37465488621748527,0,0,0,1,2.2737367544323206e-13,-0.0059358886303587655,0.23650935753736074
4,0.20000000000000001,0.10000000000000001,1,5,21,3,50,0.95139810739102681,0.94913610652811764,5.4833127844186924,9.6640999537677565,1.762456444437956,-0.76245644443795602,0,52,190,0.43120587327605508,0,0,0,1,2.2737367544323206e-13,0.0018099139557369859,0.24168383340518343
