network,lambda,PR,deltaPR,observedPct,expectedPct,deficitPP
9,0.10000000000000001,3.2738266868018027,0,100.00000000000017,48.222540029192565,-51.777459970807605
9,0.20000000000000001,3.2597519957696353,-0.014074691032167408,99.824950771066483,48.222540029192565,-51.602410741873904
9,0.5,3.2414704344550587,-0.032356252346743997,98.893764156189192,48.222540029192565,-50.671224126996627
9,1,3.2251986282332936,-0.048628058568509047,97.334653263072582,48.222540029192565,-49.112113233880009
9,2,3.2002893206659633,-0.073537366135839388,94.73253237076328,48.222540029192565,-46.509992341570708
9,5,3.1454870328013831,-0.12833965400041958,89.689812788266295,48.222540029192565,-41.46727275907373
9,10,3.0959284774971989,-0.17789820930460376,85.164722263717991,48.222540029192565,-36.942182234525418
9,100,3.1084392219694057,-0.16538746483239697,71.152711102828832,52.43921056476244,-18.713500538066398
10,0.10000000000000001,3.3983596097104898,0,100.0000000000002,46.267160650829709,-53.73283934917049
10,0.20000000000000001,3.39061355057409,-0.0077460591363998077,99.835006489702465,46.267160650829709,-53.567845838872749
10,0.5,3.3729446706534505,-0.025414939057039287,99.072475352483053,46.267160650829709,-52.805314701653352
10,1,3.3539779012795381,-0.044381708430951683,97.880080933526386,51.499922366475239,-46.380158567051154
10,2,3.3348562821742549,-0.063503327536234888,95.947677054908638,51.499922366475239,-44.447754688433392
10,5,3.3161175126751239,-0.082242097035365891,91.94803137379229,51.499922366475239,-40.448109007317058
10,10,3.3099459754503719,-0.088413634260117835,88.004362177447632,51.499922366475239,-36.5044398109724
10,100,3.3283764427196472,-0.069983166990842616,76.12161246330254,51.499922366475239,-24.621690096827308
