network,direction,gridIndex,alphaIndex,betaIndex,alpha,betaNormalized,beta,rho,rank,normalizedVarianceRatio,rawVarianceRatio,minimumRate,endpointRateMax,endpointStateMax,endpointInputMax,analytical,rhoMargin,rateRealizable,modulationOK,endpointBoundsOK,tested,physical,finitePhenotype,feasible,settle,rateMax,stateMax,corticalMax,sustainedMax,feedbackMax,cbMax,totalMax,prIntact,prBlock,analyticPRBlock,analyticAI,kIntact,kBlock,commonK,intactCapture,blockCapture,blockGap,observed,expected,nullSE,nullHalfDifference,alignmentMargin,equilibriumResidual,localMaxReal,localEulerRadius,reason
10,1,11,2,5,0.2,1,3.68583045354851,339.633653307641,7,1.04,0.835201382810498,0.346488710261814,1.96932486887047,15.00647595424,168.362474527879,1,312.388169912703,1,1,1,1,1,1,1,7.69356149720485e-15,1.96932486887046,15.0066490230448,156.948731588597,157.613932080513,10.774675540399,168.362474527879,161.625488624623,3.35351154823501,6.98875839381076,6.98875839381076,0.0758666801789929,5,7,7,1,1,12.0808126081002,0.0758666801789929,0.629441889582223,0.000742744467496977,0.00110536445240772,0.521641348058703,0,-286.042260981815,0.942791587046796,certified_feasible
10,1,12,2,6,0.2,1.25,4.60728806693564,530.677583293189,7,1.6025,1.28364015347588,0.264753424875957,2.14400612268041,15.2106794257306,190.375362379054,1,503.432099898251,1,1,1,1,1,1,1,6.23202040564969e-15,2.14400612268041,15.2106988489522,177.808805351005,178.266831964211,12.1404305546022,190.375362379054,161.625488624623,3.35351154823501,6.99526082381233,6.99526082381233,0.0501993040882815,5,7,7,1,1,18.8442069110368,0.0501993040882815,0.629441889582223,0.000742744467496977,0.00110536445240772,0.547308724149414,0,-286.042260981815,0.942791587046796,certified_feasible
10,1,13,3,1,0.35,0.1,0.368583045354852,1.10900784753516,7,0.1325,0.129851153611501,0.430841114228168,1.6121382893425,14.5231929960444,161.625488624623,0,-26.136475547403,1,0,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.35351154823501,NaN,3.62801943826393,0.933930195835167,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,modulation_envelope;
10,1,14,3,2,0.35,0.25,0.921457613387129,6.93129904709472,7,0.185,0.170834495024282,0.451019289883524,1.6514514355494,14.5900238704884,161.625488624623,0,-20.3141843478435,1,0,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.35351154823501,NaN,4.74009281651937,0.745962993390712,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,modulation_envelope;
10,1,15,3,3,0.35,0.5,1.84291522677426,27.7251961883789,7,0.3725,0.319024360033668,0.449742007503073,1.71697334589423,14.7216640416838,161.625488624623,1,0.479712793440715,1,1,1,1,1,1,1,1.2475637529488e-14,1.71697334591669,14.7223624025418,105.561943815026,106.476837003317,10.4885264583051,115.380833466531,161.625488624623,3.35351154823501,6.26344083331624,6.26344083331625,0.469203340718902,5,7,7,1,1,3.18051709762374,0.469203340718902,0.629441889582223,0.000742744467496977,0.00110536445240772,0.128304687518793,0,-286.042260981815,0.942791587046796,certified_feasible
10,1,16,3,4,0.35,0.75,2.76437284016139,62.3816914238525,7,0.685,0.567069595028157,0.377221894323247,1.82504750276696,14.8780297865308,161.625488624623,1,35.1362080289143,1,1,1,1,1,1,1,9.4124474011498e-15,1.82504750276695,14.8783684661626,122.666638368737,123.267764985434,10.4885264583051,131.685932602626,161.625488624623,3.35351154823501,6.76475618224421,6.76475618224422,0.295982434819865,5,7,7,1,1,6.93795837703298,0.295982434819866,0.629441889582223,0.000742744467496977,0.00110536445240772,0.30152559341783,0,-286.042260981815,0.942791587046796,certified_feasible
10,1,17,3,5,0.35,1,3.68583045354851,110.900784753516,7,1.1225,0.91497020000775,0.304701781143421,1.9997287565769,15.0583508744984,161.625488624623,1,83.6553013585774,1,1,1,1,1,1,1,7.40815600608887e-15,1.9997287565769,15.0584410429805,143.140304033658,143.49504951133,10.4885264583051,153.244432120803,161.625488624623,3.35351154823501,6.91050794416941,6.91050794416941,0.196007512820792,5,7,7,1,1,12.1983761682059,0.196007512820792,0.629441889582223,0.000742744467496977,0.00110536445240772,0.401500515416903,0,-286.042260981815,0.942791587046796,certified_feasible
10,1,18,3,6,0.35,1.25,4.60728806693564,173.282476177368,7,1.685,1.36272617497245,0.232181667963594,2.17441001038684,15.2617782171025,177.135772457611,1,146.03699278243,1,1,1,1,1,1,1,6.10597669187874e-15,2.17441001038684,15.2617843203419,165.739106406699,165.906536542403,11.26155834609,177.135772457611,161.625488624623,3.35351154823501,6.9600003066396,6.9600003066396,0.136829892181299,5,7,7,1,1,18.9617704711426,0.1368298921813,0.629441889582223,0.000742744467496977,0.00110536445240772,0.460678136056396,0,-286.042260981815,0.942791587046796,certified_feasible
10,1,19,4,1,0.5,0.1,0.368583045354852,0.543413845292226,7,0.26,0.257078035331226,0.360569661351775,1.67264397472443,14.5932170567293,161.625488624623,0,-26.7020695496459,1,1,1,1,1,0,0,1.4985723187195e-14,1.67264397968037,14.5932467668188,86.7210603175652,70.7150740221608,10.4885264583051,80.8624343583712,161.625488624623,3.35351154823501,3.49069843938866,3.49069843938866,0.964426386352771,5,5,5,0.961850485377221,0.952328763412163,0.246278413805558,0.972137694916585,0.518721523051799,0.000921781771060334,0.00273618195641701,-0.485350033209313,0,-286.042260981815,0.942791587046796,finite_geometry;outside_sufficient_bound;
10,1,20,4,2,0.5,0.25,0.921457613387129,3.39633653307641,7,0.3125,0.297651699323595,0.380747837007131,1.71195712093133,14.6596774508412,161.625488624623,0,-23.8491468618618,1,1,1,1,1,0,0,1.36832190655376e-14,1.71195712241482,14.6598010503257,89.7741939722164,75.1812222027553,10.4885264583051,84.8170194767551,161.625488624623,3.35351154823501,4.12756998586871,4.12756998586872,0.842701342631566,5,6,6,0.983069157879468,0.957883897732146,0.0902231169020347,0.851675919991039,0.578811671028331,0.00084774125902368,0.000960999307757726,-0.304798110307235,0,-286.042260981815,0.942791587046796,finite_geometry;outside_sufficient_bound;
