network,policy,target,goDistanceStar,goDistanceBlock,goRelativeBlock,goNormalizedEQ,eq50ms,eq90ms,state50ms,state90ms,eqAt50,eqAt100,eqAt200,stateAt50,stateAt100,stateAt200,source
3,4,7,3.60983314189127,0.0970829271448821,0.0383856576045805,1.05402084798797,NaN,NaN,NaN,NaN,0.906616262965773,0.892281919556874,1.0070267168329,1.08144765251193,1.18160584551959,1.25183262815724,E:\PROJECTS\Nirvik_Sinha_Data\cerebellar-preparatory-dynamics-model\results\stage_3\current\cache\biological_revision\resume_02\n03_p4.mat
3,4,8,3.30511336907904,0.0930723244160421,0.0372834629075678,0.75675602242322,NaN,NaN,NaN,NaN,0.801657876119078,0.704684147481887,0.715309048652578,1.09046915285886,1.19567132882815,1.27699681660329,E:\PROJECTS\Nirvik_Sinha_Data\cerebellar-preparatory-dynamics-model\results\stage_3\current\cache\biological_revision\resume_02\n03_p4.mat
4,1,1,0.131536098436994,3.76629753572948,1.53624280221161,7.87802654952495e-08,3,13,59,379,0.00282214625097771,0.000330755010755207,2.2488223008818e-05,0.522198427717614,0.420637780811276,0.261316984153347,E:\PROJECTS\Nirvik_Sinha_Data\cerebellar-preparatory-dynamics-model\results\stage_3\current\cache\biological_revision\resume_02\n04_p1.mat
4,1,2,0.124577594553477,3.61103649155981,1.46791482657973,1.71453036352162e-08,3,8,86,364,0.000415275865187187,4.12577356825818e-05,3.27369235076548e-06,0.568519529725203,0.468813491310251,0.275418534178768,E:\PROJECTS\Nirvik_Sinha_Data\cerebellar-preparatory-dynamics-model\results\stage_3\current\cache\biological_revision\resume_02\n04_p1.mat
4,1,3,0.07514341391241,3.3616132517655,1.36381505403545,1.487454042816e-08,3,9,35,307,0.000768513601884816,8.95432336622765e-05,5.5370352904231e-06,0.443849163777694,0.356672808895663,0.212137365153363,E:\PROJECTS\Nirvik_Sinha_Data\cerebellar-preparatory-dynamics-model\results\stage_3\current\cache\biological_revision\resume_02\n04_p1.mat
4,1,4,0.113621163265337,3.56393571181798,1.41379747144532,1.21242645012536e-07,5,17,82,362,0.00535962823186893,0.00058830578922542,2.80464866047577e-05,0.573232710790454,0.464115820665993,0.2832778883114,E:\PROJECTS\Nirvik_Sinha_Data\cerebellar-preparatory-dynamics-model\results\stage_3\current\cache\biological_revision\resume_02\n04_p1.mat
4,1,5,0.142737404540732,3.38519455107077,1.35442389360924,9.5815860010543e-08,4,15,84,398,0.00400270092346307,0.000446418803812797,2.50539719187641e-05,0.566445308631675,0.469925414538438,0.314311184014661,E:\PROJECTS\Nirvik_Sinha_Data\cerebellar-preparatory-dynamics-model\results\stage_3\current\cache\biological_revision\resume_02\n04_p1.mat
4,1,6,0.121977315432788,3.31848376078548,1.30798815142699,2.51459217818805e-08,3,10,64,385,0.000812152542092968,8.15993431114941e-05,5.19904865835198e-06,0.522187434151886,0.439418231987303,0.27185582244927,E:\PROJECTS\Nirvik_Sinha_Data\cerebellar-preparatory-dynamics-model\results\stage_3\current\cache\biological_revision\resume_02\n04_p1.mat
4,1,7,0.0738261232458022,3.29836669579136,1.28652937732548,1.00446824134734e-08,3,8,37,318,0.000541121683827876,7.05220422263845e-05,4.80523993607487e-06,0.463867597128959,0.380952949835345,0.222197644153906,E:\PROJECTS\Nirvik_Sinha_Data\cerebellar-preparatory-dynamics-model\results\stage_3\current\cache\biological_revision\resume_02\n04_p1.mat
4,1,8,0.0914814422287162,3.41649153223041,1.38485003085389,3.94895112966423e-08,3,10,96,348,0.00240070160468589,0.000283632070584392,1.37931950001198e-05,0.59223451550908,0.490854481089078,0.2903800305056,E:\PROJECTS\Nirvik_Sinha_Data\cerebellar-preparatory-dynamics-model\results\stage_3\current\cache\biological_revision\resume_02\n04_p1.mat
4,2,1,0.230333387039846,3.77216503044952,1.53863610662932,0.00044067108446896,58,154,202,462,0.55772334026991,0.2555831293534,0.0537535994483732,0.830906738411575,0.788905276802305,0.503467525812429,E:\PROJECTS\Nirvik_Sinha_Data\cerebellar-preparatory-dynamics-model\results\stage_3\current\cache\biological_revision\resume_02\n04_p2.mat
4,2,2,0.262553277902227,3.63309289243769,1.47688092757188,0.00015703305474382,58,146,196,476,0.553356628185184,0.242407607313261,0.0449167105686274,0.855396806818443,0.777939826190059,0.485385959877008,E:\PROJECTS\Nirvik_Sinha_Data\cerebellar-preparatory-dynamics-model\results\stage_3\current\cache\biological_revision\resume_02\n04_p2.mat
4,2,3,0.186354855893314,3.3511207758517,1.3595582298461,0.000104983133512851,54,136,184,450,0.530639224252909,0.205571869401719,0.0422193377780282,0.836827060481263,0.751763656683791,0.449891861798964,E:\PROJECTS\Nirvik_Sinha_Data\cerebellar-preparatory-dynamics-model\results\stage_3\current\cache\biological_revision\resume_02\n04_p2.mat
4,2,4,0.178146803601668,3.58059068120127,1.42040442384433,0.000451064043119435,55,139,199,440,0.532802007691715,0.213080423228184,0.0412208263504822,0.853595014695615,0.781320454115637,0.496274299108543,E:\PROJECTS\Nirvik_Sinha_Data\cerebellar-preparatory-dynamics-model\results\stage_3\current\cache\biological_revision\resume_02\n04_p2.mat
4,2,5,0.231846299086097,3.38448280918357,1.35413912409199,0.000455795944164748,56,138,217,469,0.539980824914249,0.217206284170473,0.0412123225874125,0.888914705044947,0.841934311217741,0.541052962542621,E:\PROJECTS\Nirvik_Sinha_Data\cerebellar-preparatory-dynamics-model\results\stage_3\current\cache\biological_revision\resume_02\n04_p2.mat
4,2,6,0.276743606102162,3.34317706125196,1.31772107367644,0.000423963506879204,55,138,218,496,0.534636393268467,0.210586653342531,0.0448838193502705,0.910093000297781,0.856076529263007,0.543314003912737,E:\PROJECTS\Nirvik_Sinha_Data\cerebellar-preparatory-dynamics-model\results\stage_3\current\cache\biological_revision\resume_02\n04_p2.mat
