network,policy,target,trial,MOms,peakMs,peakMps,nearZero,boundaryPeak,missingWindow,numberLargePeaks
1,1,4,13,55,201,0.393901885545618,0,0,0,1
1,1,4,14,52,207,0.495993177960528,0,0,0,1
1,1,4,15,50,198,0.469250590940327,0,0,0,1
1,1,4,16,56,202,0.446203367457119,0,0,0,1
1,1,4,17,58,203,0.388839401241749,0,0,0,1
1,1,4,18,58,198,0.361949831924891,0,0,0,1
1,1,4,19,58,203,0.427431775616223,0,0,0,1
1,1,4,20,51,194,0.41555410409487,0,0,0,1
1,1,4,21,56,201,0.394845294853219,0,0,0,1
1,1,4,22,58,207,0.424797687267112,0,0,0,1
1,1,4,23,61,214,0.431993912642849,0,0,0,1
1,1,4,24,57,206,0.424090388065149,0,0,0,1
1,1,4,25,51,194,0.428470637688415,0,0,0,1
1,1,4,26,58,198,0.371901270600078,0,0,0,1
1,1,4,27,54,204,0.438443230223855,0,0,0,1
1,1,4,28,54,196,0.429980831742384,0,0,0,1
1,1,4,29,56,194,0.393796998942152,0,0,0,1
1,1,4,30,61,206,0.388547022066646,0,0,0,1
1,1,5,1,54,197,0.435766304410701,0,0,0,1
1,1,5,2,50,200,0.51894876743229,0,0,0,1
1,1,5,3,53,201,0.441357766627927,0,0,0,1
1,1,5,4,65,202,0.327668179038297,0,0,0,1
1,1,5,5,61,205,0.425584849393116,0,0,0,1
1,1,5,6,55,198,0.46862433310905,0,0,0,1
1,1,5,7,56,201,0.440433207181914,0,0,0,1
1,1,5,8,56,198,0.387719011895278,0,0,0,1
1,1,5,9,58,201,0.39645953817789,0,0,0,1
1,1,5,10,51,197,0.4903494389731,0,0,0,1
1,1,5,11,57,209,0.468259116280617,0,0,0,1
1,1,5,12,57,200,0.400147908594278,0,0,0,1
1,1,5,13,59,206,0.442578649645336,0,0,0,1
1,1,5,14,59,208,0.443969954043599,0,0,0,1
1,1,5,15,57,200,0.397856454761449,0,0,0,1
1,1,5,16,51,199,0.467720050242838,0,0,0,1
1,1,5,17,54,202,0.444887809956018,0,0,0,1
1,1,5,18,56,199,0.415557427595499,0,0,0,1
1,1,5,19,55,193,0.405606243418586,0,0,0,1
1,1,5,20,55,205,0.444009891802662,0,0,0,1
1,1,5,21,62,206,0.398075745113879,0,0,0,1
1,1,5,22,50,195,0.418244498695143,0,0,0,1
1,1,5,23,59,200,0.381270410563935,0,0,0,1
1,1,5,24,56,207,0.444003282419006,0,0,0,1
1,1,5,25,52,201,0.495466497271507,0,0,0,1
1,1,5,26,57,209,0.465120938180314,0,0,0,1
1,1,5,27,58,203,0.430450262531493,0,0,0,1
1,1,5,28,57,209,0.468241761947047,0,0,0,1
1,1,5,29,52,198,0.399792825513644,0,0,0,1
1,1,5,30,58,194,0.348734492110775,0,0,0,1
1,1,6,1,54,196,0.364516742856432,0,0,0,1
1,1,6,2,56,205,0.43591077507086,0,0,0,1
1,1,6,3,55,202,0.424653602805899,0,0,0,1
1,1,6,4,53,195,0.388986969928159,0,0,0,1
1,1,6,5,57,204,0.408874140486629,0,0,0,1
1,1,6,6,58,207,0.404801654555984,0,0,0,1
1,1,6,7,55,202,0.438026498454762,0,0,0,1
1,1,6,8,52,199,0.447404361192384,0,0,0,1
1,1,6,9,56,200,0.416128963444961,0,0,0,1
1,1,6,10,56,202,0.397106073659872,0,0,0,1
1,1,6,11,56,198,0.384059623083588,0,0,0,1
1,1,6,12,54,195,0.377680993209889,0,0,0,1
1,1,6,13,57,203,0.380669772479885,0,0,0,1
1,1,6,14,56,204,0.390333588945605,0,0,0,1
1,1,6,15,54,195,0.381467741153772,0,0,0,1
1,1,6,16,57,208,0.430463766680286,0,0,0,1
1,1,6,17,60,212,0.414917769409648,0,0,0,1
1,1,6,18,57,207,0.425768887692492,0,0,0,1
1,1,6,19,53,197,0.380990730247798,0,0,0,1
1,1,6,20,56,200,0.425641962988598,0,0,0,1
1,1,6,21,54,203,0.453983221910937,0,0,0,1
1,1,6,22,54,195,0.33275571198343,0,0,0,1
1,1,6,23,54,200,0.365529897432119,0,0,0,1
1,1,6,24,54,195,0.381657872089801,0,0,0,1
1,1,6,25,53,195,0.393589308145078,0,0,0,1
1,1,6,26,56,205,0.389798768353861,0,0,0,1
1,1,6,27,56,203,0.422633924857419,0,0,0,1
