network,policy,target,endpointRmsMM,medianMOms,medianPeakMs,medianPeakSpeedMps,nearZero,boundaryPeak,missingWindow
8,3,8,20.4137414925569,39,187,0.272118164635098,0,0,0
8,4,1,27.139739658707,54,199,0.206946944715766,0,0,0
8,4,2,25.4266636639297,61,213.5,0.234152755292109,0,0,0
8,4,3,26.4241820780707,52,201.5,0.181181056023876,0,0,0
8,4,4,29.7620325070864,49.5,187,0.166781169055982,0,0,0
8,4,5,26.152825957407,67,213.5,0.205157538544671,0,0,0
8,4,6,34.1078406910384,54,207,0.225852663529792,0,1,0
8,4,7,28.9875448615007,57,202.5,0.214395701376811,0,0,0
8,4,8,27.911907079103,55,213,0.184638359324201,0,0,0
9,1,1,25.2945916705504,56.5,203,0.419824483635348,0,0,0
9,1,2,17.1296171616134,56,199,0.418173890925404,0,0,0
9,1,3,20.3045857187458,55,202,0.417673384588672,0,0,0
9,1,4,20.2221937607924,56,202.5,0.417937664117688,0,0,0
9,1,5,20.6497665424368,55,201,0.421797018670082,0,0,0
9,1,6,19.0228248301533,55,203,0.420989197800175,0,0,0
9,1,7,17.0782010401418,55,201,0.409222432031081,0,0,0
9,1,8,15.1794573929871,55.5,199,0.421891660931486,0,0,0
9,2,1,35.6950151333738,56.5,202.5,0.425651937808562,0,0,0
9,2,2,25.125647216215,56,199,0.413439448075554,0,0,0
9,2,3,34.202785268459,55,200,0.417354500057403,0,0,0
9,2,4,31.0701760008388,56,201.5,0.431101769994534,0,0,0
9,2,5,30.2950980286023,54.5,199.5,0.418880815956838,0,0,0
9,2,6,30.7843332577204,55,203,0.42506107066307,0,0,0
9,2,7,24.8286344326342,54,201,0.409898910207164,0,0,0
9,2,8,24.102844416706,56,198.5,0.425199872304689,0,0,0
9,3,1,25.6987075327262,44,185,0.257177960327218,0,0,0
9,3,2,16.9748840461472,42,188,0.312765393727166,0,0,0
9,3,3,19.4827317294218,42,194,0.312766449873036,0,0,0
9,3,4,20.0416916631684,48,197,0.260748256572558,0,0,0
9,3,5,20.4226640089652,42,185,0.263054739845733,0,0,0
9,3,6,18.9452567736779,40,182,0.292698606002009,0,0,0
9,3,7,16.7935070568036,40,187.5,0.302990965187022,0,0,0
9,3,8,15.3530773126188,47,196.5,0.298146122853131,0,0,0
9,4,1,35.8861926341225,55.5,201,0.199241445304574,0,0,0
9,4,2,23.5776930603665,60.5,208,0.218154091083318,0,0,0
9,4,3,32.1442899480662,53.5,209,0.262654022865254,0,0,0
9,4,4,30.6881548919393,58.5,203.5,0.214625954080403,0,0,0
9,4,5,29.3629470747335,49,186.5,0.184602390001995,0,0,0
9,4,6,30.10009919027,49,187.5,0.199320476457725,0,0,0
9,4,7,24.7560545024725,50,198.5,0.198417484951637,0,0,0
9,4,8,24.603098240199,61,207,0.21933775350619,0,0,0
10,1,1,24.341422392446,57,201,0.410968804672587,0,0,0
10,1,2,25.9249207289801,57,200,0.413021971037794,0,0,0
10,1,3,22.4519623104334,55,201,0.408673202821406,0,0,0
10,1,4,18.2316535956748,57,200,0.405525869237271,0,0,0
10,1,5,24.5147871325522,56,201,0.428235923049961,0,0,0
10,1,6,20.2885239701309,56,201,0.415958778370877,0,0,0
10,1,7,23.9663904844865,55,200.5,0.408741548283258,0,0,0
10,1,8,21.7745021190876,56,199.5,0.429946120060383,0,0,0
10,2,1,33.1545557432676,57.5,200.5,0.406057725708269,0,0,0
10,2,2,40.7394627197667,57.5,199.5,0.423765638709282,0,0,0
10,2,3,39.006061506945,54,199,0.404234784404302,0,0,0
10,2,4,30.1090196734157,57,200.5,0.407525118586957,0,0,0
10,2,5,36.2412476680463,55,202,0.436006020777741,0,0,0
10,2,6,31.8503083280036,55.5,201.5,0.414937308902788,0,0,0
10,2,7,38.0424850125282,55.5,201,0.414339101357312,0,0,0
10,2,8,34.7482312623896,56,199.5,0.426697616850749,0,0,0
10,3,1,24.4442759907359,42,187,0.274548072104936,0,0,0
10,3,2,25.1288437659429,42,190,0.334779908816283,0,0,0
