network,eta,s_init,s_temporal,condition,target,goBias,cueEqDistance,relativeBias,dispersion,C,endpointRmsM
1,0,0.20000000000000001,0.10000000000000001,2,7,2.1637600946724058,2.89752598796691,0.74676123826265961,3.9670068676060186,-0.83216883608415826,0.07872130633183301
1,0,0.20000000000000001,0.10000000000000001,2,8,2.3703635560509455,2.9022485288606146,0.81673348525445533,3.8539470743041164,-0.77220129190058107,0.072631825259857064
1,0,0.10000000000000001,0.050000000000000003,1,1,2.127807212712169,2.0937255051148562,1.0162780209316136,1.6336532871278269,-0.61941299295920293,0.013380265420908057
1,0,0.10000000000000001,0.050000000000000003,1,2,2.9230801179978716,3.2688063510108782,0.89423471570712931,1.7035146934008512,-0.72442988680101017,0.015927753042996734
1,0,0.10000000000000001,0.050000000000000003,1,3,2.5226410819879548,2.8729261487974851,0.87807376567749629,1.7503000223194463,-0.70170581283901434,0.016488956965652123
1,0,0.10000000000000001,0.050000000000000003,1,4,1.7208580100078521,2.5628454533636789,0.67146382461309306,1.6917452858360706,-0.6667306570113567,0.016096748402058325
1,0,0.10000000000000001,0.050000000000000003,1,5,2.6045404985082068,2.9525225589052773,0.88214076151679133,1.6983689748579445,-0.74842678545255137,0.016600769893879951
1,0,0.10000000000000001,0.050000000000000003,1,6,2.4494260009933448,2.9917723541986527,0.81872071501557286,1.6667512077570328,-0.65524480005358876,0.013095926206163186
1,0,0.10000000000000001,0.050000000000000003,1,7,2.3231190002464097,3.1056411274166167,0.74803201816781162,1.7053249721424713,-0.6870024664112897,0.013836827116433137
1,0,0.10000000000000001,0.050000000000000003,1,8,2.0297306034797771,2.6775417422175432,0.7580575015793225,1.6744294812095681,-0.66671202303457233,0.012262395878345347
1,0,0.10000000000000001,0.050000000000000003,2,1,2.4181551024276411,2.7086985697539658,0.89273687719607897,1.8839187893404834,-0.81766394421208499,0.034700312829303942
1,0,0.10000000000000001,0.050000000000000003,2,2,2.2891000406528379,2.8269626147682949,0.80973834910103981,1.8988764213169957,-0.78395846948092951,0.038484986006466562
1,0,0.10000000000000001,0.050000000000000003,2,3,1.8298837224194069,2.7418082460804039,0.66740032788045867,1.9379775636583658,-0.78790606944665387,0.043092474708068283
1,0,0.10000000000000001,0.050000000000000003,2,4,2.5963971844998004,2.6823134333279008,0.96796934774266641,1.9651578954960685,-0.85971873421377776,0.038684755693702173
1,0,0.10000000000000001,0.050000000000000003,2,5,2.6062857578323881,2.9106982773160057,0.89541598253037735,1.9885164338064525,-0.97775727317555816,0.047515859903230061
1,0,0.10000000000000001,0.050000000000000003,2,6,2.6096105553300051,2.8830662505849967,0.90515108863713922,1.91594837578996,-0.78164334489840404,0.038474967112053726
1,0,0.10000000000000001,0.050000000000000003,2,7,2.1914866062164982,2.8927333412860747,0.75758334684322803,1.9912527815180836,-0.90638781594859574,0.039354677344984365
1,0,0.10000000000000001,0.050000000000000003,2,8,2.290748741221416,2.8501869805401356,0.80371875840486051,1.9355381836712173,-0.87457583915625337,0.036610890829772078
1,0,0.10000000000000001,0.20000000000000001,1,1,2.4194024977491755,2.0937255051148562,1.155549040138599,5.685199197733394,-2.0116564588432957,0.051543561530357836
1,0,0.10000000000000001,0.20000000000000001,1,2,3.0486251702293852,3.2688063510108782,0.93264171775932758,5.7509636268476392,-2.1527143998483074,0.065282470152116884
1,0,0.10000000000000001,0.20000000000000001,1,3,2.8996160082634055,2.8729261487974851,1.0092901307181501,5.7791808205983575,-2.002770020471262,0.065167700909812276
1,0,0.10000000000000001,0.20000000000000001,1,4,1.901144513224627,2.5628454533636789,0.74181004973570142,5.8710193081375159,-2.2269873608796531,0.062384678075931593
1,0,0.10000000000000001,0.20000000000000001,1,5,2.8325520461710387,2.9525225589052773,0.95936677524363412,5.7672032092621484,-2.1721237459161746,0.067002797249294782
1,0,0.10000000000000001,0.20000000000000001,1,6,2.7955270734521185,2.9917723541986527,0.93440500896696777,5.5758772472745148,-1.9808314880859765,0.051533563914547789
1,0,0.10000000000000001,0.20000000000000001,1,7,2.3882035427874047,3.1056411274166167,0.76898889627147538,5.8113102627010322,-2.1073402099617158,0.055919016525519463
1,0,0.10000000000000001,0.20000000000000001,1,8,2.3732203360322961,2.6775417422175432,0.88634298342134987,5.7684785785994546,-2.1474152770139345,0.0453336838682942
1,0,0.10000000000000001,0.20000000000000001,2,1,2.6724489360727786,2.7086985697539658,0.98661732461265339,6.3917952475063657,-2.3437968268449088,0.10981523322777849
1,0,0.10000000000000001,0.20000000000000001,2,2,2.4931755294740023,2.8269626147682949,0.88192730828820998,6.3305835591566222,-2.3496733679753214,0.13196033805005519
1,0,0.10000000000000001,0.20000000000000001,2,3,2.2629641625044981,2.7418082460804039,0.82535464168201944,6.4812146277664988,-2.2961518863082877,0.14009155393699604
1,0,0.10000000000000001,0.20000000000000001,2,4,2.9061374226103736,2.6823134333279008,1.0834443829350615,6.5631967521172685,-2.5044333670250545,0.13140775942745228
1,0,0.10000000000000001,0.20000000000000001,2,5,2.912605212883606,2.9106982773160057,1.0006551471110769,6.5266898585199504,-2.499856441607315,0.16668317834725491
1,0,0.10000000000000001,0.20000000000000001,2,6,2.8519347503720116,2.8830662505849967,0.98920194768099134,6.2389179477998642,-2.2106009226832248,0.13191575899440666
1,0,0.10000000000000001,0.20000000000000001,2,7,2.3796832138211403,2.8927333412860747,0.82264174850045513,6.5468093845038151,-2.4731074983363279,0.14037572647799038
1,0,0.10000000000000001,0.20000000000000001,2,8,2.5090540947364337,2.8501869805401356,0.880312102983835,6.45907605793027,-2.3722339297031767,0.1120646144669884
1,1,0.050000000000000003,0.10000000000000001,1,1,0.26102252621417255,2.0830273445019727,0.12530921732886802,1.2858444530282547,-0.48272455966680083,0.019855205975710073
1,1,0.050000000000000003,0.10000000000000001,1,2,0.28745771314728286,3.256710404129969,0.088266280226435193,1.3221706705670599,-0.60256983442661005,0.023668784829074502
1,1,0.050000000000000003,0.10000000000000001,1,3,0.29304746003940235,2.870440238140243,0.10209146880872451,1.3055630617328149,-0.46469931268437387,0.021737856242494972
