network,eta,s_init,s_temporal,condition,target,trial,fold,referenceK95,capture,captureBefore,d_cue,d_prego,distanceRatio,C,undefinedC,moMs,peakMs,peakSpeed,nearZero,missingWindow,boundaryPeak,largePeakCount
8,1,0.10000000000000001,0.050000000000000003,2,4,12,3,63,0.95046288808080615,0.94897804053641688,2.4618310970800383,1.5447762894273385,0.62749076947625992,0.37250923052374008,0,41,172,0.14661734823056,0,0,0,2
8,1,0.10000000000000001,0.050000000000000003,2,4,13,2,63,0.95066983720612952,0.94916809013377956,2.4615680895778076,1.8287629627129678,0.7429260114541969,0.2570739885458031,0,40,160,0.11554178590912782,0,0,0,2
8,1,0.10000000000000001,0.050000000000000003,2,4,14,2,63,0.95066983720612952,0.94916809013377956,2.3483988260088351,1.7953252958657688,0.76448909613746097,0.23551090386253903,0,57,437,0.11718116575200688,0,0,0,2
8,1,0.10000000000000001,0.050000000000000003,2,4,15,1,63,0.95007120561248348,0.94856281243465079,2.5180589569360965,2.0206845674877894,0.80247706747363123,0.19752293252636877,0,42,473,0.16745392177773619,0,0,0,2
8,1,0.10000000000000001,0.050000000000000003,2,4,16,3,63,0.95046288808080615,0.94897804053641688,2.9175049696898308,2.0024788669239695,0.68636690861810579,0.31363309138189421,0,44,180,0.13090200550604442,0,0,0,2
8,1,0.10000000000000001,0.050000000000000003,2,4,17,3,63,0.95046288808080615,0.94897804053641688,2.4322496434386847,1.8573044720031702,0.76361588828412197,0.23638411171587803,0,46,183,0.14156453486379347,0,0,0,2
8,1,0.10000000000000001,0.050000000000000003,2,4,18,3,63,0.95046288808080615,0.94897804053641688,2.5889339074402065,1.6277407065231306,0.62873011236217691,0.37126988763782309,0,43,184,0.20730554686610622,0,0,0,2
8,1,0.10000000000000001,0.050000000000000003,2,4,19,2,63,0.95066983720612952,0.94916809013377956,2.0285067379698329,1.525749679686272,0.75215410978287922,0.24784589021712078,0,40,402,0.14346764068659507,0,0,0,2
8,1,0.10000000000000001,0.050000000000000003,2,4,20,3,63,0.95046288808080615,0.94897804053641688,2.8766567711196824,1.5738709025692776,0.54711807066113038,0.45288192933886962,0,43,439,0.12074909648086343,0,0,0,2
8,1,0.10000000000000001,0.050000000000000003,2,4,21,2,63,0.95066983720612952,0.94916809013377956,3.233116978125206,1.7616097607536454,0.544864220092387,0.455135779907613,0,43,173,0.13611314514528211,0,0,0,2
8,1,0.10000000000000001,0.050000000000000003,2,4,22,3,63,0.95046288808080615,0.94897804053641688,2.5343332962808294,1.9192504831358925,0.75729995180682042,0.24270004819317958,0,37,155,0.13611503671383299,0,0,0,2
8,1,0.10000000000000001,0.050000000000000003,2,4,23,2,63,0.95066983720612952,0.94916809013377956,1.8941724938791189,1.7139642422648489,0.90486175245570299,0.095138247544297005,0,35,155,0.11907538077030978,0,0,0,2
8,1,0.10000000000000001,0.050000000000000003,2,4,24,1,63,0.95007120561248348,0.94856281243465079,3.0068046595474978,1.3546248645069918,0.45051974367728065,0.54948025632271935,0,52,402,0.13717443299336091,0,0,0,2
8,1,0.10000000000000001,0.050000000000000003,2,4,25,3,63,0.95046288808080615,0.94897804053641688,2.4105689048523327,1.7942570135805296,0.74432927844078478,0.25567072155921522,0,40,173,0.16461658278915961,0,0,0,2
8,1,0.10000000000000001,0.050000000000000003,2,4,26,1,63,0.95007120561248348,0.94856281243465079,2.6745139191432306,1.6758863251492639,0.62661342427641098,0.37338657572358902,0,54,462,0.14087500776442988,0,0,0,2
8,1,0.10000000000000001,0.050000000000000003,2,4,27,3,63,0.95046288808080615,0.94897804053641688,2.6606720478944288,1.8408614212551235,0.69187836310451067,0.30812163689548933,0,48,190,0.17842687159223222,0,0,0,2
8,1,0.10000000000000001,0.050000000000000003,2,4,28,1,63,0.95007120561248348,0.94856281243465079,2.6515491165772009,1.3981482076931255,0.52729485527990139,0.47270514472009861,0,45,462,0.12790395490112275,0,0,0,2
8,1,0.10000000000000001,0.050000000000000003,2,4,29,2,63,0.95066983720612952,0.94916809013377956,2.8795923353848196,2.0780548599632658,0.72164897594282595,0.27835102405717405,0,53,427,0.16242235040047859,0,0,0,2
8,1,0.10000000000000001,0.050000000000000003,2,4,30,1,63,0.95007120561248348,0.94856281243465079,2.7955066073995205,1.7171077373882395,0.61423848287218108,0.38576151712781892,0,38,180,0.15161690011020118,0,0,0,2
8,1,0.10000000000000001,0.050000000000000003,2,5,1,1,63,0.95075653767483848,0.94929924094322793,2.4192656161998607,1.789161470558507,0.73954734799599642,0.26045265200400358,0,83,234,0.23448904414933119,0,0,0,1
8,1,0.10000000000000001,0.050000000000000003,2,5,2,3,63,0.95037272081127888,0.9489039199300302,2.9826397664000397,1.7688051634682704,0.59303345425557952,0.40696654574442048,0,88,243,0.25031510396225781,0,0,0,1
8,1,0.10000000000000001,0.050000000000000003,2,5,3,2,63,0.95079640427303691,0.94930473121453063,2.5204660190151804,1.4007961320778721,0.55576870368806008,0.44423129631193992,0,85,237,0.23130194501209231,0,0,0,2
8,1,0.10000000000000001,0.050000000000000003,2,5,4,1,63,0.95075653767483848,0.94929924094322793,2.640457608122059,1.6586635131204812,0.62817274854874594,0.37182725145125406,0,86,239,0.24482230608210076,0,0,0,1
8,1,0.10000000000000001,0.050000000000000003,2,5,5,2,63,0.95079640427303691,0.94930473121453063,2.3554445819330976,1.6333048040715479,0.69341678280161678,0.30658321719838322,0,80,231,0.22125412579744297,0,0,0,2
8,1,0.10000000000000001,0.050000000000000003,2,5,6,2,63,0.95079640427303691,0.94930473121453063,2.5289719993193285,1.6522970003460475,0.65334728925063723,0.34665271074936277,0,86,240,0.24094385261723789,0,0,0,1
8,1,0.10000000000000001,0.050000000000000003,2,5,7,1,63,0.95075653767483848,0.94929924094322793,2.9093419811206203,1.7981249496549681,0.61805210983219183,0.38194789016780817,0,78,233,0.22705539306200345,0,0,0,2
8,1,0.10000000000000001,0.050000000000000003,2,5,8,1,63,0.95075653767483848,0.94929924094322793,2.6900520267227974,1.7797777044581991,0.66161460327830324,0.33838539672169676,0,90,247,0.2581114850490176,0,0,0,1
8,1,0.10000000000000001,0.050000000000000003,2,5,9,2,63,0.95079640427303691,0.94930473121453063,2.954078743918195,1.4992189898899047,0.50750813361914271,0.49249186638085729,0,82,221,0.16356317723250344,0,0,0,2
