network,eta,s_init,s_temporal,deltaC,deltaR2,lossPct,lossDefined,Control95K,observed,expected,deficit
7,1,0.050000000000000003,0.10000000000000001,-0.060443823177886435,-0.020436373115933493,2.0553583568035507,1,6,0.31856261861630941,0.52512426805796664,0.20656164944165722
7,1,0.10000000000000001,0.10000000000000001,-0.041877395723441665,-0.020485352932123169,2.0603674372405427,1,6,0.31850029929002283,0.52510519918660736,0.20660489989658454
7,1,0.20000000000000001,0.10000000000000001,-0.025188121468565694,-0.02063598395017785,2.0757114752313144,1,6,0.31839225380441877,0.52504444227096458,0.20665218846654582
7,1,0.10000000000000001,0.050000000000000003,-0.028568204023858346,-0.078425358686580626,7.8838709686676323,1,5,0.3242994070534389,0.4717837427059613,0.14748433565252239
7,1,0.10000000000000001,0.20000000000000001,-0.058290136252961977,-0.16136731807393334,18.371203161380858,1,6,0.3256386265839436,0.51677165100454514,0.19113302442060154
8,0,0.050000000000000003,0.10000000000000001,-0.28161361021008169,-0.082552967873366967,8.8270028993559109,1,7,0.3391229536307348,0.45213753290561387,0.11301457927487907
8,0,0.10000000000000001,0.10000000000000001,-0.21313118150093358,-0.077587933788785812,8.3697988456799095,1,7,0.34185184922939221,0.45039421375902711,0.10854236452963489
8,0,0.20000000000000001,0.10000000000000001,-0.15356226738549006,-0.10146193707650819,11.053030314152348,1,7,0.34881039101414346,0.44548929486718797,0.096678903853044507
8,0,0.10000000000000001,0.050000000000000003,-0.16943283913515628,-0.076438872680880565,7.6930851993239626,1,7,0.33555590936484314,0.45829718910135919,0.12274127973651605
8,0,0.10000000000000001,0.20000000000000001,-0.20953020925760102,-0.11187968013719385,15.204852697017264,1,7,0.3639044997771545,0.42746786770317396,0.063563367926019465
8,1,0.050000000000000003,0.10000000000000001,-0.068205713247478816,-0.021184908864225638,2.1272698619839834,1,6,0.3213189767246159,0.53330138597126386,0.21198240924664796
8,1,0.10000000000000001,0.10000000000000001,-0.04610123581177103,-0.021164545924722278,2.1252632597775625,1,6,0.32140334639207102,0.53330316817241386,0.21189982178034283
8,1,0.20000000000000001,0.10000000000000001,-0.02782811966344495,-0.021216672312689533,2.1305826362232074,1,6,0.3215876655690682,0.53328317426687644,0.21169550869780823
8,1,0.10000000000000001,0.050000000000000003,-0.028159033641119768,-0.088523117710726629,8.8822881797119102,1,6,0.31990357907890976,0.53568512039313809,0.21578154131422833
8,1,0.10000000000000001,0.20000000000000001,-0.05799396668280532,-0.16418006894670667,18.669289509384342,1,6,0.32738817893261757,0.52434421494803363,0.19695603601541606
9,0,0.050000000000000003,0.10000000000000001,-0.32225319481774228,-0.12862765968644929,13.500536041318439,1,7,0.33635796815536212,0.48813605170680147,0.15177808355143935
9,0,0.10000000000000001,0.10000000000000001,-0.23648926322769492,-0.12158750943439145,12.910394645861377,1,7,0.33346201757928018,0.48762374631171401,0.15416172873243383
9,0,0.20000000000000001,0.10000000000000001,-0.15014911479826604,-0.14369249951712815,15.469145154483922,1,7,0.32646258749421114,0.48512611642731662,0.15866352893310548
9,0,0.10000000000000001,0.050000000000000003,-0.15733968837210544,-0.020618139169625294,2.0775676019193243,1,7,0.33210076448294679,0.49460353471674029,0.1625027702337935
9,0,0.10000000000000001,0.20000000000000001,-0.26428186495099215,-0.14764471066641494,19.417646697307347,1,7,0.3406536704622582,0.46514948719444887,0.12449581673219068
9,1,0.050000000000000003,0.10000000000000001,-0.065761833493496957,-0.021930041787506904,2.2068659429017066,1,6,0.33148273918408427,0.54674829498985622,0.21526555580577195
9,1,0.10000000000000001,0.10000000000000001,-0.045265204105892104,-0.022075271240240557,2.2215069419817501,1,6,0.33149974258446802,0.54672900431869831,0.21522926173423029
9,1,0.20000000000000001,0.10000000000000001,-0.028936112206331188,-0.022301948555712214,2.2444257892143953,1,6,0.33156573707368925,0.5466690913365807,0.21510335426289146
9,1,0.10000000000000001,0.050000000000000003,-0.03032813873048823,-0.10536617479259669,10.568515886599947,1,6,0.33087846975670476,0.54875320918509152,0.21787473942838675
9,1,0.10000000000000001,0.20000000000000001,-0.062460216051998474,-0.17921852972309438,20.040863727349592,1,6,0.33482091482939691,0.53827384501177677,0.20345293018237987
10,0,0.050000000000000003,0.10000000000000001,-0.23085125871066525,-0.17286362184658866,18.849272226093049,1,6,0.36051085999369631,0.47480350477236838,0.11429264477867207
10,0,0.10000000000000001,0.10000000000000001,-0.16932481002556821,-0.15721546529926023,17.362470350193146,1,6,0.35789518547461646,0.47354729679026031,0.11565211131564385
10,0,0.20000000000000001,0.10000000000000001,-0.12367400802873341,-0.14658149855323277,16.518056021456399,1,6,0.35301824221002209,0.46913569367313457,0.11611745146311248
10,0,0.10000000000000001,0.050000000000000003,-0.12546694660479807,-0.02589602124681134,2.6237224713634726,1,6,0.35524676038400493,0.48046702981001205,0.12522026942600711
10,0,0.10000000000000001,0.20000000000000001,-0.18860772904455603,-0.13591754774092102,19.393624087216811,1,7,0.36524704679756387,0.48868607259471092,0.12343902579714705
10,1,0.050000000000000003,0.10000000000000001,-0.053783445119155115,-0.029933242998587684,3.0117925659828333,1,5,0.33407474446211138,0.51561310252626891,0.18153835806415752
10,1,0.10000000000000001,0.10000000000000001,-0.03508512301475647,-0.029920849099915769,3.0105598464780088,1,5,0.3339119788634175,0.51556270656106318,0.18165072769764568
10,1,0.20000000000000001,0.10000000000000001,-0.022325373340621679,-0.030104405281547342,3.0291111631568617,1,5,0.33358460631700293,0.51544137395138756,0.18185676763438463
10,1,0.10000000000000001,0.050000000000000003,-0.023952440936958308,-0.010239656061381219,1.0286829822406915,1,5,0.33394103082203863,0.51739397632268369,0.18345294550064506
10,1,0.10000000000000001,0.20000000000000001,-0.051951309494931763,-0.1888454158926719,22.332157182495088,1,6,0.33021995806753335,0.5657601266378961,0.23554016857036275
