network,eta,s_init,s_temporal,condition,rep,r2,lambdaIndex1,lambdaIndex2,lambdaIndex3,fullLambdaIndex
1,0,0.050000000000000003,0.10000000000000001,2,67,-0.014174939756997018,25,25,22,25
1,0,0.050000000000000003,0.10000000000000001,2,68,-0.016000619465865284,22,25,25,25
1,0,0.050000000000000003,0.10000000000000001,2,69,-0.0095482217268452185,21,25,25,25
1,0,0.050000000000000003,0.10000000000000001,2,70,-0.0096057366281938616,23,25,23,25
1,0,0.050000000000000003,0.10000000000000001,2,71,-0.010450524615983614,25,22,25,23
1,0,0.050000000000000003,0.10000000000000001,2,72,-0.011518660502354727,25,25,25,25
1,0,0.050000000000000003,0.10000000000000001,2,73,-0.0093274260581992507,25,23,25,25
1,0,0.050000000000000003,0.10000000000000001,2,74,-0.011113856830125446,25,25,23,25
1,0,0.050000000000000003,0.10000000000000001,2,75,-0.014094337488141706,21,21,21,21
1,0,0.050000000000000003,0.10000000000000001,2,76,-0.017865883697960383,21,22,21,21
1,0,0.050000000000000003,0.10000000000000001,2,77,-0.014602559909325574,22,22,25,24
1,0,0.050000000000000003,0.10000000000000001,2,78,-0.018556936126668866,25,25,25,25
1,0,0.050000000000000003,0.10000000000000001,2,79,-0.0071986142640034778,25,25,25,25
1,0,0.050000000000000003,0.10000000000000001,2,80,-0.018319277016292768,21,24,25,25
1,0,0.050000000000000003,0.10000000000000001,2,81,-0.0086238141929599887,25,22,25,23
1,0,0.050000000000000003,0.10000000000000001,2,82,-0.012413669334493838,22,23,25,23
1,0,0.050000000000000003,0.10000000000000001,2,83,-0.010717150051257729,22,22,24,22
1,0,0.050000000000000003,0.10000000000000001,2,84,-0.0061738047954258413,25,25,25,25
1,0,0.050000000000000003,0.10000000000000001,2,85,-0.0067835204090267442,24,23,21,22
1,0,0.050000000000000003,0.10000000000000001,2,86,-0.0075518577914677198,25,21,21,22
1,0,0.050000000000000003,0.10000000000000001,2,87,-0.0049163480646552404,21,21,25,22
1,0,0.050000000000000003,0.10000000000000001,2,88,-0.016527103574108359,25,23,21,22
1,0,0.050000000000000003,0.10000000000000001,2,89,-0.014025956034372289,25,23,21,22
1,0,0.050000000000000003,0.10000000000000001,2,90,-0.0084143307519795041,25,23,22,25
1,0,0.050000000000000003,0.10000000000000001,2,91,-0.012626514674637379,25,25,25,25
1,0,0.050000000000000003,0.10000000000000001,2,92,-0.014850943118743354,22,25,25,25
1,0,0.050000000000000003,0.10000000000000001,2,93,-0.013464077596214263,25,25,25,25
1,0,0.050000000000000003,0.10000000000000001,2,94,-0.010959854181361584,21,25,25,25
1,0,0.050000000000000003,0.10000000000000001,2,95,-0.0098070675144887876,21,21,23,21
1,0,0.050000000000000003,0.10000000000000001,2,96,-0.0083067241635386146,25,22,23,23
1,0,0.050000000000000003,0.10000000000000001,2,97,-0.013294400589373145,25,23,25,25
1,0,0.050000000000000003,0.10000000000000001,2,98,-0.0038956875342210928,22,23,22,22
1,0,0.050000000000000003,0.10000000000000001,2,99,-0.0083772591801507534,25,22,21,22
1,0,0.050000000000000003,0.10000000000000001,2,100,-0.014749712029330286,25,21,22,22
1,0,0.10000000000000001,0.10000000000000001,1,1,-0.0077578115582312979,23,25,25,25
1,0,0.10000000000000001,0.10000000000000001,1,2,-0.014330238981906218,25,25,25,25
1,0,0.10000000000000001,0.10000000000000001,1,3,-0.023973722860712643,25,25,25,25
1,0,0.10000000000000001,0.10000000000000001,1,4,-0.0051560052476471441,25,22,21,22
1,0,0.10000000000000001,0.10000000000000001,1,5,-0.010666087055542173,25,25,25,25
1,0,0.10000000000000001,0.10000000000000001,1,6,-0.0036350552631836397,25,25,25,25
1,0,0.10000000000000001,0.10000000000000001,1,7,-0.0076240666360720688,25,25,23,25
1,0,0.10000000000000001,0.10000000000000001,1,8,-0.024648628872402156,20,25,25,25
1,0,0.10000000000000001,0.10000000000000001,1,9,-0.012811601281240037,25,25,25,25
1,0,0.10000000000000001,0.10000000000000001,1,10,-0.0081405027932428542,25,25,25,25
1,0,0.10000000000000001,0.10000000000000001,1,11,-0.014035248798663247,23,25,25,25
1,0,0.10000000000000001,0.10000000000000001,1,12,-0.016758221239950188,22,22,25,23
1,0,0.10000000000000001,0.10000000000000001,1,13,-0.027918296215347693,22,22,25,24
1,0,0.10000000000000001,0.10000000000000001,1,14,-0.0040253602371560504,25,25,25,25
1,0,0.10000000000000001,0.10000000000000001,1,15,-0.0058828621318507412,21,25,25,25
1,0,0.10000000000000001,0.10000000000000001,1,16,-0.01993422729133143,25,21,25,25
1,0,0.10000000000000001,0.10000000000000001,1,17,-0.0074261713112369065,22,20,22,21
1,0,0.10000000000000001,0.10000000000000001,1,18,-0.018908657430155795,25,22,22,22
1,0,0.10000000000000001,0.10000000000000001,1,19,-0.011117701572025185,25,25,25,25
1,0,0.10000000000000001,0.10000000000000001,1,20,-0.011801102859274604,25,23,25,25
1,0,0.10000000000000001,0.10000000000000001,1,21,-0.0053439088655093947,25,25,21,25
1,0,0.10000000000000001,0.10000000000000001,1,22,-0.0050825102111402565,21,25,21,22
1,0,0.10000000000000001,0.10000000000000001,1,23,-0.0051328689049310317,23,21,20,21
1,0,0.10000000000000001,0.10000000000000001,1,24,-0.0083293949717644367,25,25,25,25
1,0,0.10000000000000001,0.10000000000000001,1,25,-0.021898572101694436,21,20,25,21
1,0,0.10000000000000001,0.10000000000000001,1,26,-0.0076738685594381906,25,25,25,25
1,0,0.10000000000000001,0.10000000000000001,1,27,-0.0011515547068143839,21,20,21,21
1,0,0.10000000000000001,0.10000000000000001,1,28,-0.0090230973119773683,21,25,25,25
1,0,0.10000000000000001,0.10000000000000001,1,29,-0.0076683644107276017,20,20,20,20
1,0,0.10000000000000001,0.10000000000000001,1,30,-0.0020906784104317566,21,25,19,21
1,0,0.10000000000000001,0.10000000000000001,1,31,-0.012489158769271258,22,25,20,22
1,0,0.10000000000000001,0.10000000000000001,1,32,-0.029552677420857654,25,22,22,24
1,0,0.10000000000000001,0.10000000000000001,1,33,-0.00040098159230872454,21,22,20,21
1,0,0.10000000000000001,0.10000000000000001,1,34,-0.0027013237029169801,21,21,25,21
1,0,0.10000000000000001,0.10000000000000001,1,35,-0.016028237758836328,25,25,25,25
1,0,0.10000000000000001,0.10000000000000001,1,36,-0.034197933411459047,24,19,25,22
1,0,0.10000000000000001,0.10000000000000001,1,37,-0.0079127762449071604,25,25,25,25
1,0,0.10000000000000001,0.10000000000000001,1,38,-0.0071626503469062186,20,20,25,21
1,0,0.10000000000000001,0.10000000000000001,1,39,-0.011161740836304057,25,25,25,25
1,0,0.10000000000000001,0.10000000000000001,1,40,-0.013623586029408497,22,25,25,25
1,0,0.10000000000000001,0.10000000000000001,1,41,-0.019001963441221736,25,23,25,25
1,0,0.10000000000000001,0.10000000000000001,1,42,-0.016878238140780821,20,24,25,21
1,0,0.10000000000000001,0.10000000000000001,1,43,-0.011328766274875113,24,25,22,25
1,0,0.10000000000000001,0.10000000000000001,1,44,-0.012842950220727678,20,25,21,21
1,0,0.10000000000000001,0.10000000000000001,1,45,-0.014525115790381848,23,21,25,22
1,0,0.10000000000000001,0.10000000000000001,1,46,-0.0096887891387984482,25,22,21,22
1,0,0.10000000000000001,0.10000000000000001,1,47,-0.018794898963076179,22,25,25,25
1,0,0.10000000000000001,0.10000000000000001,1,48,-0.0076781182313419016,25,21,21,23
1,0,0.10000000000000001,0.10000000000000001,1,49,-0.01682122154291843,25,25,23,25
1,0,0.10000000000000001,0.10000000000000001,1,50,-0.019691486451365092,25,22,25,25
1,0,0.10000000000000001,0.10000000000000001,1,51,-0.027016724162894468,21,24,19,21
1,0,0.10000000000000001,0.10000000000000001,1,52,-0.019292517439136736,25,21,20,21
1,0,0.10000000000000001,0.10000000000000001,1,53,-0.035143378884001208,25,21,25,25
1,0,0.10000000000000001,0.10000000000000001,1,54,-0.0075650073932269635,25,21,21,22
1,0,0.10000000000000001,0.10000000000000001,1,55,-0.0088528753617778122,22,25,21,22
1,0,0.10000000000000001,0.10000000000000001,1,56,-0.0096652846233566958,23,25,25,25
1,0,0.10000000000000001,0.10000000000000001,1,57,-0.0066203897039098791,25,21,22,22
1,0,0.10000000000000001,0.10000000000000001,1,58,-0.0033389622606943004,25,25,25,25
1,0,0.10000000000000001,0.10000000000000001,1,59,-0.0067932788855540327,25,25,22,23
1,0,0.10000000000000001,0.10000000000000001,1,60,-0.01814835463940212,21,21,25,21
1,0,0.10000000000000001,0.10000000000000001,1,61,-0.01317160405668627,25,25,22,25
1,0,0.10000000000000001,0.10000000000000001,1,62,-0.0094452557742121801,22,24,25,23
1,0,0.10000000000000001,0.10000000000000001,1,63,-0.0074459714108094932,23,25,25,25
1,0,0.10000000000000001,0.10000000000000001,1,64,-0.013408724053437515,25,25,25,25
1,0,0.10000000000000001,0.10000000000000001,1,65,-0.019441113753920991,25,25,25,25
1,0,0.10000000000000001,0.10000000000000001,1,66,-0.025672008608063512,25,25,22,25
1,0,0.10000000000000001,0.10000000000000001,1,67,-0.015259204721715713,21,25,20,23
1,0,0.10000000000000001,0.10000000000000001,1,68,-0.016041296249339032,22,25,21,23
1,0,0.10000000000000001,0.10000000000000001,1,69,-0.010448361018476682,23,25,25,25
1,0,0.10000000000000001,0.10000000000000001,1,70,-0.013684216628585322,25,25,22,25
1,0,0.10000000000000001,0.10000000000000001,1,71,-0.010795222566116314,23,25,25,25
1,0,0.10000000000000001,0.10000000000000001,1,72,-0.01015472710100962,23,25,25,25
1,0,0.10000000000000001,0.10000000000000001,1,73,-0.0082337295628993612,21,22,25,25
1,0,0.10000000000000001,0.10000000000000001,1,74,-0.0077690591857086932,20,22,21,21
1,0,0.10000000000000001,0.10000000000000001,1,75,-0.013122603902843144,20,22,21,21
1,0,0.10000000000000001,0.10000000000000001,1,76,-0.017983440137958606,20,21,21,21
1,0,0.10000000000000001,0.10000000000000001,1,77,-0.023029353705060318,21,23,25,22
1,0,0.10000000000000001,0.10000000000000001,1,78,-0.019487360334795589,25,25,22,25
1,0,0.10000000000000001,0.10000000000000001,1,79,-0.021648361374200453,21,19,25,22
1,0,0.10000000000000001,0.10000000000000001,1,80,-0.021056237166296343,22,25,25,25
1,0,0.10000000000000001,0.10000000000000001,1,81,-0.015146784909885191,20,25,22,21
1,0,0.10000000000000001,0.10000000000000001,1,82,-0.014792262446718718,25,23,25,24
1,0,0.10000000000000001,0.10000000000000001,1,83,-0.0044380312412906076,21,22,25,25
1,0,0.10000000000000001,0.10000000000000001,1,84,-0.007339276454299215,25,22,25,25
1,0,0.10000000000000001,0.10000000000000001,1,85,-0.011466809279818913,25,25,20,22
1,0,0.10000000000000001,0.10000000000000001,1,86,-0.0041979697441141273,24,23,22,23
1,0,0.10000000000000001,0.10000000000000001,1,87,0.014958008842698822,20,20,21,21
1,0,0.10000000000000001,0.10000000000000001,1,88,-0.035104421786153361,21,25,21,22
1,0,0.10000000000000001,0.10000000000000001,1,89,-0.018719485895948962,25,25,24,25
1,0,0.10000000000000001,0.10000000000000001,1,90,-0.0096626413585580995,25,24,23,25
1,0,0.10000000000000001,0.10000000000000001,1,91,-0.018864574739043682,25,25,25,25
1,0,0.10000000000000001,0.10000000000000001,1,92,-0.022635525960202907,25,21,25,25
1,0,0.10000000000000001,0.10000000000000001,1,93,-0.012433269877745179,25,22,25,25
