network,eta,s_init,s_temporal,condition,convergence,pr,r2,bias,dispersion,mo,peakTime,peakSpeed,endpoint,separation,shuffle,matched,Control95K,observed,expected,deficit,undefinedC,evaluable,predictionEvaluable,finite,prepBounds,prepRateMax,prepStateMax,prepInputMax,rateLimit,stateLimit,inputLimit,movementRateMax,movementStateMax,nearZero,missingWindow,boundaryPeak,multiPeak,prepPC75,movePC75,mean_d_cue,mean_d_prego,mean_ratio
2,0,0.10000000000000001,0.10000000000000001,1,-1.3189233388965182,3.400723032724712,0.90311145907776025,0.76902602121022667,2.9817406827217834,55,200,0.4175267648318472,25.837006956749569,5.7433889405202132,-0.0090478343859466959,0.90311145907776025,6,0.40110309647709774,0.45664091959300462,0.055537823115906881,0,1,1,1,1,3.0066894618769884,17.704295451952373,19.81361330182326,7.3534863892751323,43.957306167355171,66.723673577912479,3.0256695748236981,23.972642824095473,0,0,0,1,13,9,3.538778667248681,8.0926022594785803,2.3189233388965182
2,0,0.10000000000000001,0.10000000000000001,2,-1.5226962468091734,6.3073934484363763,0.81254144753318402,0.80592760613743386,3.2924066913180998,45.5,215,0.27975181690188622,60.40679379561184,0.88733539230617287,-0.010152474925025134,0.88637620569273745,6,0.40110309647709774,0.45664091959300462,0.055537823115906881,0,1,1,1,1,2.9673614455016515,17.637353375318327,19.81361330182326,7.3534863892751323,43.957306167355171,66.723673577912479,3.0376106141565202,23.694149107143364,0,0,12,85,14,15,3.5563334604221164,8.8416888316504387,2.5226962468091729
2,0,0.20000000000000001,0.10000000000000001,1,-0.52918583766825111,3.4107116624272993,0.88965346130142975,0.7682778311540962,3.3179331024816876,55,200,0.41743840436777346,25.754781270735283,5.7471426872283695,-0.0093940185673372367,0.88965346130142975,6,0.40197994746049481,0.4549661889436728,0.052986241483177987,0,1,1,1,1,3.0945135405398396,18.312577307679987,19.81361330182326,7.3534863892751323,43.957306167355171,66.723673577912479,3.1217221253865324,24.224485325776413,0,0,0,1,16,10,6.195944728573787,9.3655593058435365,1.529185837668251
2,0,0.20000000000000001,0.10000000000000001,2,-0.67221437770688053,6.2873912070881621,0.77885868075605291,0.79504138688964043,3.6982030082298238,45.5,219,0.28636752322820547,67.154651839287581,0.79166749938402259,-0.0099608364388444892,0.85502300896444505,6,0.40197994746049481,0.4549661889436728,0.052986241483177987,0,1,1,1,1,3.1032612618101063,18.254611347087415,19.81361330182326,7.3534863892751323,43.957306167355171,66.723673577912479,3.1707429121008128,23.752969166806839,0,0,15,85,17,17,6.2948369171591718,10.407400310978545,1.6722143777068803
2,0,0.10000000000000001,0.050000000000000003,1,-0.61148790964217781,3.3845007147107986,0.97919281753465337,0.75716357649469901,1.6686620090750026,55,199,0.41811367003519351,13.070826011982582,11.250155372286445,-0.0092643555997392601,0.97919281753465337,6,0.39856847288006453,0.46080656613952808,0.062238093259463556,0,1,1,1,1,2.7198306864280548,16.912869997291523,19.81361330182326,7.3534863892751323,43.957306167355171,66.723673577912479,2.7674788522309663,23.062377112669829,0,0,0,0,4,3,2.8036864266624066,4.4539064412743654,1.6114879096421777
2,0,0.10000000000000001,0.050000000000000003,2,-0.75384760633744097,6.30384746218171,0.8725781273479567,0.78340515590982296,1.8587535349571818,45,209,0.24773372247704945,34.02645774803095,1.718127120813518,-0.01016660577480466,0.92920687927380596,6,0.39856847288006453,0.46080656613952808,0.062238093259463556,0,1,1,1,1,2.5843515264824828,16.745335816773721,19.81361330182326,7.3534863892751323,43.957306167355171,66.723673577912479,2.773482287000967,22.684984182310732,0,0,9,104,6,6,2.8616847381037451,4.9447413276111813,1.7538476063374411
2,0,0.10000000000000001,0.20000000000000001,1,-2.0160858127770647,3.5322162331162752,0.71185106781308893,0.82369033713081441,5.6810713875512588,57,202,0.42058556133051217,51.024961997435419,2.9300602628227495,-0.010275500309199881,0.71185106781308893,6,0.4033433044704321,0.4424590145085231,0.039115710038091001,0,1,1,1,1,3.565376115248724,19.522858315640633,19.81361330182326,7.3534863892751323,43.957306167355171,66.723673577912479,4.0982605441088769,25.754893637857432,0,0,0,14,28,21,5.1931049460006022,15.473756072098194,3.0160858127770642
2,0,0.10000000000000001,0.20000000000000001,2,-2.2495590742546021,6.3744046086273043,0.6018595944684253,0.86139970067353855,6.2179930344436229,46,237,0.36187896433645483,111.95766597453905,0.46027470811520016,-0.010366995530994516,0.62367086406267791,6,0.4033433044704321,0.4424590145085231,0.039115710038091001,0,1,1,1,1,3.7316148044683901,20.378404407002247,19.81361330182326,7.3534863892751323,43.957306167355171,66.723673577912479,4.0064986487343592,25.662568563936183,0,0,20,71,28,25,5.1987700688842446,16.674962006607238,3.2495590742546026
2,1,0.050000000000000003,0.10000000000000001,1,-0.5636156676442392,3.9029340350813699,0.99399988580573129,0.096918734771997514,1.3483400993478436,55,200.5,0.41735953141225879,18.501574719101413,7.8707843822960806,-0.0088623651195606223,0.99399988580573129,6,0.30074933724560632,0.52648480997065605,0.22573547272504974,0,1,1,1,1,2.4164623315563838,15.589855057569125,20.801535302796697,7.3534863892751323,43.957306167355171,66.723673577912479,2.6569039667178287,22.677433457011247,0,0,0,0,5,2,2.3067376663031056,3.5741395700202059,1.5636156676442392
2,1,0.050000000000000003,0.10000000000000001,2,-0.62275382607253182,6.8001289226670458,0.8889531840491236,0.10211414038696204,1.4080974192527529,51,213.5,0.23865672706418212,27.356593677164138,2.9272018506240181,-0.010032948278839826,0.96503923729140351,6,0.30074933724560632,0.52648480997065605,0.22573547272504974,0,1,1,1,1,2.3515257855683891,15.760637019467257,20.538579490878316,7.3534863892751323,43.957306167355171,66.723673577912479,2.7229590090904181,22.455716417894177,0,0,6,81,6,6,2.3187037150218277,3.7282043463790866,1.6227538260725323
