eta,s_init,s_temporal,condition,metric,median,bootstrapSE,availableN
1,0.10000000000000001,0.20000000000000001,2,matched,0.80620824336754837,0.0046838641328440936,10
0,0.050000000000000003,0.10000000000000001,0,observed,0.34981690681221556,0.01858764716186679,10
1,0.050000000000000003,0.10000000000000001,0,observed,0.31994079767046268,0.0075840648700228877,10
0,0.10000000000000001,0.10000000000000001,0,observed,0.34987351735200434,0.018650636051419745,10
1,0.10000000000000001,0.10000000000000001,0,observed,0.31995182284104695,0.0075727709296116441,10
0,0.20000000000000001,0.10000000000000001,0,observed,0.35091431661208278,0.018838393753510312,10
1,0.20000000000000001,0.10000000000000001,0,observed,0.31998995968674349,0.0075510953415432553,10
0,0.10000000000000001,0.050000000000000003,0,observed,0.34540133487442404,0.019412845410586778,10
1,0.10000000000000001,0.050000000000000003,0,observed,0.3221014930661743,0.0076969463584969705,10
0,0.10000000000000001,0.20000000000000001,0,observed,0.36457577328735918,0.014064579963333776,10
1,0.10000000000000001,0.20000000000000001,0,observed,0.32651340275828056,0.0060337047088389129,10
0,0.050000000000000003,0.10000000000000001,0,expected,0.45367847594616006,0.0061643317155595208,10
1,0.050000000000000003,0.10000000000000001,0,expected,0.52340193111823352,0.0071755815430197944,10
0,0.10000000000000001,0.10000000000000001,0,expected,0.45320746816093183,0.0062951135941082155,10
1,0.10000000000000001,0.10000000000000001,0,expected,0.52340263789999031,0.0071783832066505387,10
0,0.20000000000000001,0.10000000000000001,0,expected,0.45148619414543223,0.0066797760003350932,10
1,0.20000000000000001,0.10000000000000001,0,expected,0.52338297025574132,0.0071830806161827998,10
0,0.10000000000000001,0.050000000000000003,0,expected,0.45868301296116565,0.015150332355586193,10
1,0.10000000000000001,0.050000000000000003,0,expected,0.51595917657033785,0.015939104231629708,10
0,0.10000000000000001,0.20000000000000001,0,expected,0.44295214554331275,0.015979795689493172,10
1,0.10000000000000001,0.20000000000000001,0,expected,0.52676402972684877,0.0058315064651557171,10
0,0.050000000000000003,0.10000000000000001,0,deficit,0.094119097056252793,0.013468574240538912,10
1,0.050000000000000003,0.10000000000000001,0,deficit,0.20927202934415259,0.012468375402433564,10
0,0.10000000000000001,0.10000000000000001,0,deficit,0.093927044740877152,0.013175347954853351,10
1,0.10000000000000001,0.10000000000000001,0,deficit,0.20925236083846369,0.012465318329893518,10
0,0.20000000000000001,0.10000000000000001,0,deficit,0.092190518579271047,0.012908307271967538,10
1,0.20000000000000001,0.10000000000000001,0,deficit,0.20917384858217702,0.012455213912434798,10
0,0.10000000000000001,0.050000000000000003,0,deficit,0.097680195449231927,0.014403071330834816,10
1,0.10000000000000001,0.050000000000000003,0,deficit,0.19100697772674149,0.019193830095008767,10
0,0.10000000000000001,0.20000000000000001,0,deficit,0.10823577469026616,0.01990030878425746,10
1,0.10000000000000001,0.20000000000000001,0,deficit,0.20257373074142823,0.0071813716115381645,10
0,0.050000000000000003,0.10000000000000001,0,deltaC,-0.2748267622470173,0.017271259388263249,10
1,0.050000000000000003,0.10000000000000001,0,deltaC,-0.058372402557293646,0.0039735359792692692,10
0,0.10000000000000001,0.10000000000000001,0,deltaC,-0.19832816389605912,0.0132469828200015,10
1,0.10000000000000001,0.10000000000000001,0,deltaC,-0.038430149297843108,0.0032032282616996891,10
0,0.20000000000000001,0.10000000000000001,0,deltaC,-0.13909206159197773,0.0079393505531573857,10
1,0.20000000000000001,0.10000000000000001,0,deltaC,-0.022784709830138472,0.001776860190994402,10
0,0.10000000000000001,0.050000000000000003,0,deltaC,-0.15488726407601283,0.0096262966524141031,10
1,0.10000000000000001,0.050000000000000003,0,deltaC,-0.025303898245228884,0.0024042591576044548,10
0,0.10000000000000001,0.20000000000000001,0,deltaC,-0.20807834260398539,0.018075622763225024,10
1,0.10000000000000001,0.20000000000000001,0,deltaC,-0.055806785448648699,0.0026391223369483653,10
0,0.050000000000000003,0.10000000000000001,0,deltaR2,-0.12369100018660373,0.016978632254212825,10
1,0.050000000000000003,0.10000000000000001,0,deltaR2,-0.029394414971593397,0.011600476029925717,10
0,0.10000000000000001,0.10000000000000001,0,deltaR2,-0.12160916163839386,0.01410217204624596,10
1,0.10000000000000001,0.10000000000000001,0,deltaR2,-0.029365692817802047,0.01165859694530833,10
0,0.20000000000000001,0.10000000000000001,0,deltaR2,-0.12453707008420423,0.012406469113158305,10
1,0.20000000000000001,0.10000000000000001,0,deltaR2,-0.029502963505172897,0.011594398915740638,10
0,0.10000000000000001,0.050000000000000003,0,deltaR2,-0.037266619697557846,0.014825849438449733,10
1,0.10000000000000001,0.050000000000000003,0,deltaR2,-0.057088711390966773,0.013792702958347393,10
0,0.10000000000000001,0.20000000000000001,0,deltaR2,-0.13436599667389798,0.0087421956407163302,10
1,0.10000000000000001,0.20000000000000001,0,deltaR2,-0.16825073380423622,0.0071631109459634659,10
0,0.050000000000000003,0.10000000000000001,0,lossPct,13.135846873870367,1.8501010043091421,10
1,0.050000000000000003,0.10000000000000001,0,lossPct,2.9545427921835676,1.1662574880296235,10
0,0.10000000000000001,0.10000000000000001,0,lossPct,12.959979657592019,1.5761052141564831,10
1,0.10000000000000001,0.10000000000000001,0,lossPct,2.9516549391845617,1.1720881370122371,10
0,0.20000000000000001,0.10000000000000001,0,lossPct,13.689421424470957,1.3455260789233616,10
1,0.20000000000000001,0.10000000000000001,0,lossPct,2.9654911619951623,1.1656529687570221,10
0,0.10000000000000001,0.050000000000000003,0,lossPct,3.7684183529657718,1.4925396294027207,10
1,0.10000000000000001,0.050000000000000003,0,lossPct,5.7290506582222109,1.3891458892991262,10
0,0.10000000000000001,0.20000000000000001,0,lossPct,18.430160730751979,1.1493601703177441,10
1,0.10000000000000001,0.20000000000000001,0,lossPct,19.114027678198696,0.94041246404876877,10
