Network,Target,Trial,InitialNorm,InitialActiveChangeFraction
1,5,13,1.40521617400962,0
1,5,14,1.43198293251431,0
1,5,15,1.34094504738963,0
1,5,16,1.33275694285962,0
1,5,17,1.31921726669564,0
1,5,18,1.44187731794457,0
1,5,19,1.30865721452119,0
1,5,20,1.38411061152576,0
1,5,21,1.52518063417879,0
1,5,22,1.48078119519351,0
1,5,23,1.36598066574022,0
1,5,24,1.41346121156897,0
1,5,25,1.34240827614406,0
1,5,26,1.55589458615058,0
1,5,27,1.38460423104753,0
1,5,28,1.38712580630951,0
1,5,29,1.40215605043372,0
1,5,30,1.45787323950302,0
1,5,31,1.37859483809091,0
1,5,32,1.31103490717172,0
1,5,33,1.44372466586824,0
1,5,34,1.34202061579064,0
1,5,35,1.40407441724867,0
1,5,36,1.38835611394842,0
1,5,37,1.40795696011239,0
1,5,38,1.46004023310731,0
1,5,39,1.39935794765791,0
1,5,40,1.44389546456929,0
1,5,41,1.43745068060599,0
1,5,42,1.45547364372649,0
1,5,43,1.49826747381553,0
1,5,44,1.45034369174133,0
1,5,45,1.47142994639414,0
1,5,46,1.37866133628395,0
1,5,47,1.51248738733477,0
1,5,48,1.32922217835311,0
1,5,49,1.28014328996642,0
1,5,50,1.45195929562113,0
1,5,51,1.36848075176656,0
1,5,52,1.38209863110857,0
1,5,53,1.44375870748281,0
1,5,54,1.52035906592861,0
1,5,55,1.43104390778881,0
1,5,56,1.39716341802935,0
1,5,57,1.4468230449645,0
1,5,58,1.46217159129494,0
1,5,59,1.42027780972749,0
1,5,60,1.524271535032,0
1,5,61,1.49040533706235,0
1,5,62,1.38371644344579,0
1,5,63,1.48666316589311,0
1,5,64,1.51058855866932,0
1,5,65,1.460130506391,0
1,5,66,1.33699267618295,0
1,5,67,1.30989497522897,0
1,5,68,1.4057760647514,0
1,5,69,1.32913099502505,0
1,5,70,1.42146423933538,0
1,5,71,1.47750554729338,0
1,5,72,1.27924401994625,0
1,5,73,1.28634893094708,0
1,5,74,1.40621533657126,0
1,5,75,1.35295436576097,0
1,5,76,1.37595128396154,0
1,5,77,1.46278789610132,0
1,5,78,1.42239193955023,0
1,5,79,1.26121499564564,0
1,5,80,1.48695030775363,0
1,5,81,1.43009757624984,0
1,5,82,1.37966516023474,0
1,5,83,1.36097188277772,0
1,5,84,1.4496122429424,0
1,5,85,1.38123651683221,0
1,5,86,1.41843875257799,0
1,5,87,1.43802703046848,0
1,5,88,1.36608505262014,0
1,5,89,1.31425822739283,0
1,5,90,1.46973659728819,0
1,5,91,1.49318478576457,0
1,5,92,1.35221844284542,0
1,5,93,1.41193472746297,0
1,5,94,1.36973814591902,0
1,5,95,1.41978657061835,0
1,5,96,1.51512843663784,0
1,5,97,1.38741415823593,0
1,5,98,1.43704358736241,0
1,5,99,1.44160321244121,0
1,5,100,1.4068228437125,0
1,6,1,1.37649098121677,0
1,6,2,1.44800461012987,0
1,6,3,1.54651189199806,0
1,6,4,1.3341972802498,0
1,6,5,1.43602755104745,0
1,6,6,1.34151985633188,0
1,6,7,1.43484005189833,0
1,6,8,1.38380774155507,0
1,6,9,1.4120711842459,0
1,6,10,1.39684662549263,0.005
1,6,11,1.34566141253445,0
1,6,12,1.4742166410841,0
1,6,13,1.32170864477679,0
1,6,14,1.37967902970984,0
1,6,15,1.32800240379387,0
1,6,16,1.3847062368654,0
1,6,17,1.38108036934055,0
1,6,18,1.43645829144054,0
1,6,19,1.3318368598432,0
1,6,20,1.41642391791332,0.005
1,6,21,1.35382730933478,0
1,6,22,1.48702759775208,0.005
1,6,23,1.40799156549696,0
1,6,24,1.33163173645596,0
1,6,25,1.46020674887323,0
1,6,26,1.2626980682329,0
1,6,27,1.43394948685785,0
1,6,28,1.53886543089932,0
1,6,29,1.35191687091405,0
1,6,30,1.54002029065432,0
1,6,31,1.3515442495217,0
1,6,32,1.38674226996229,0
1,6,33,1.51063509604953,0
1,6,34,1.46597071046714,0
1,6,35,1.36840311866477,0
1,6,36,1.36838088353014,0
1,6,37,1.34180178098738,0
1,6,38,1.50945910712213,0
