Network,Lambda,PrepPR,MovePR,PrepCaptured15,MoveCaptured15,ObservedAlignment,ExpectedAlignment,AlignmentDeficit,MotorError200Percent,FeedbackEffort,GainFrobeniusNorm
8,0.2,3.18853330061007,3.45942881214093,0.999932541182359,0.998219589673702,0.998581770369428,0.848458980592956,-0.150122789776472,0.00825361004020996,20.9228899148008,31.2311303559442
8,0.5,3.19119520214572,3.47874239981491,0.99990891208568,0.998248523160569,0.991272478236524,0.848458980592956,-0.142813497643568,0.0256631313930785,13.1230566200069,19.6344219911666
8,1,3.18921193191161,3.49094717541283,0.999882120196969,0.998281627068635,0.980143923592316,0.848458980592956,-0.13168494299936,0.0689512661459272,8.92684190476854,13.7831145372454
8,2,3.179442837226,3.49652579602879,0.999845877948193,0.998320437976434,0.96413118405223,0.848458980592956,-0.115672203459274,0.189315482838633,5.8191447765241,9.63503339222697
8,5,3.16185028388146,3.48898645795428,0.999797584563619,0.998367950249131,0.940331575993205,0.848458980592956,-0.0918725954002493,0.632637729608694,3.05884639820488,5.93558935381657
8,10,3.15578373747479,3.46783464615162,0.999776813891725,0.99840148818507,0.921367482993919,0.848458980592956,-0.0729085024009627,1.40709458451637,1.77384968974263,4.05901179417467
8,100,3.19444961702135,3.41072570843548,0.999710632165874,0.998513365270313,0.843851066231435,0.848458980592956,0.00460791436152075,13.2050599951792,0.188135030190128,0.97474447547255
9,0.1,2.8804285784017,3.16973106636108,0.999932744639685,0.998168748192267,1,0.845363436094976,-0.154636563905024,0.00240031252153334,31.635183758432,44.2537924923736
9,0.2,2.87711716801354,3.18529420952769,0.99991677772538,0.99819032832052,0.998743011029628,0.845363436094976,-0.153379574934652,0.00513117133619681,22.4970610952222,31.188236630965
9,0.5,2.87382656131855,3.21034953312176,0.999887289731426,0.998218740841625,0.992033913731513,0.845363436094976,-0.146670477636538,0.0175099283809931,14.0990500458614,19.5982706359117
9,1,2.87151631037843,3.23548677103438,0.999854993677275,0.998241573435923,0.980967451593381,0.845363436094976,-0.135604015498406,0.0485476994147265,9.59553910634436,13.7529748576674
9,2,2.86479455424886,3.26494226412147,0.999813337975443,0.998274876058906,0.962747294348569,0.845363436094976,-0.117383858253593,0.127376086896445,6.2532610043764,9.61152471987228
9,5,2.83978811444622,3.29967680393697,0.999753213095494,0.998340872313045,0.926830467606598,0.845363436094976,-0.0814670315116228,0.439653910277359,3.26956062468361,5.92167869530892
9,10,2.81450796779478,3.3145462556536,0.999726612220242,0.99839975745386,0.895685654661297,0.845363436094976,-0.0503222185663212,1.04802650212552,1.88367847533548,4.05254202186634
9,100,2.90804236285466,3.34784658829007,0.999648424402403,0.9984252329339,0.805854882753628,0.845363436094976,0.0395085533413475,11.7965621782914,0.212020435236285,0.984259999459694
10,0.1,3.15278237531029,3.69182123669225,0.999938731175087,0.998425032316062,1,0.865364273960937,-0.134635726039063,0.00466373934550295,26.9242241884818,44.1942694449569
10,0.2,3.15490326209304,3.7121958351693,0.999927972515333,0.998430010941408,0.998984607956328,0.865364273960937,-0.133620333995392,0.00964192760681614,19.1294659459496,31.1341439852616
10,0.5,3.15406599315818,3.73986340380698,0.999908326639265,0.998417679009503,0.994300892718096,0.865364273960937,-0.128936618757159,0.0250704880819336,12.0070294675387,19.5507614691288
