network,eta,condition,target,rawBias,cueDistance,biasRatio,goRms,convergence
3,0.75,2,8,0.407485409087899,2.84372241972506,0.14329296216165,1.558631142814,-0.225683898950822
3,0.5,1,1,0.543279364848696,2.65585373419947,0.204559218699765,1.76478968302971,-0.442485092547319
3,0.5,1,2,0.480966401666402,2.8873008879054,0.166579937574612,1.69021305063713,-0.326930571764643
3,0.5,1,3,0.542246700829298,2.91180688061971,0.186223442371251,1.77036892028097,-0.377892839793115
3,0.5,1,4,0.601751775241122,2.37263139214376,0.253622108024718,1.76875785753502,-0.394328857081225
3,0.5,1,5,0.673362740119884,2.57145139864698,0.261860963218744,1.77431046564061,-0.438872497440602
3,0.5,1,6,0.555786664939354,3.48612779689776,0.159428081045663,1.78216372181196,-0.47197777797578
3,0.5,1,7,0.450004392838478,2.95206406492815,0.152437204254722,1.73343498697045,-0.402337121593776
3,0.5,1,8,0.566507438017627,2.73380849968821,0.207222794896657,1.75568829615859,-0.359604512317035
3,0.5,2,1,0.543029289811593,2.73823499034793,0.198313618709033,1.88793635178557,-0.503076895601979
3,0.5,2,2,0.596800526015105,2.79588556865418,0.213456706778732,1.83367072204988,-0.450098239714104
3,0.5,2,3,0.622349587039222,2.93065905256702,0.212358236108733,1.89536471316565,-0.463137911402165
3,0.5,2,4,0.7670017932243,2.9136795641655,0.263241642168697,1.88887023972099,-0.463522196427366
3,0.5,2,5,0.708290964010986,2.78718599203081,0.254124039815121,1.90003701757966,-0.519685690684754
3,0.5,2,6,0.686428849526407,2.9172384203022,0.235300908129168,1.87899027465402,-0.512587110861695
3,0.5,2,7,0.630932319111514,2.89482504214831,0.217951796714902,1.86540166836318,-0.489191984743478
3,0.5,2,8,0.703387710838412,2.84372241972506,0.247347528000436,1.88331677876049,-0.456248422262338
3,0.25,1,1,1.03798664269106,2.65585373419947,0.390829746881347,2.23157096498648,-0.804574899046402
3,0.25,1,2,0.907287251290896,2.8873008879054,0.314233703557335,2.13218656048814,-0.68042434363975
3,0.25,1,3,1.02062916433628,2.91180688061971,0.350514030009798,2.24062690932941,-0.733061723596886
3,0.25,1,4,1.124209735547,2.37263139214376,0.473824016351411,2.24698758110603,-0.762845387789653
3,0.25,1,5,1.32888768180067,2.57145139864698,0.516785066402536,2.27387871139101,-0.852269266045797
3,0.25,1,6,1.11627782512241,3.48612779689776,0.320205652275789,2.26382714760294,-0.843431198883517
3,0.25,1,7,0.819541487614756,2.95206406492815,0.277616430263584,2.21409919657119,-0.78975352560051
3,0.25,1,8,1.05681140906509,2.73380849968821,0.386571118344836,2.22273972504825,-0.710719891498672
3,0.25,2,1,1.03990338277357,2.73823499034793,0.379771417149787,2.43860675206997,-0.920535822328682
3,0.25,2,2,1.13250359585371,2.79588556865418,0.40506078236916,2.37820701206136,-0.886735483432116
3,0.25,2,3,1.2138806401685,2.93065905256702,0.414200566628601,2.44947765347787,-0.867956398487327
3,0.25,2,4,1.47484320019372,2.9136795641655,0.506178928641431,2.44663959978942,-0.874510568330527
3,0.25,2,5,1.38540414829111,2.78718599203081,0.497061965815087,2.48549198079783,-0.996606660196366
3,0.25,2,6,1.37533954768867,2.9172384203022,0.471452569017721,2.41410624999892,-0.934100444686447
3,0.25,2,7,1.19015999038965,2.89482504214831,0.411133651623523,2.42594965758824,-0.963047527020386
3,0.25,2,8,1.37066025230666,2.84372241972506,0.481995093051021,2.43281900514013,-0.870158810777179
3,0,1,1,2.11775465061588,2.65585373419947,0.797391295817809,3.07473226745815,-1.47648922202434
3,0,1,2,1.87709093848099,2.8873008879054,0.650119613907899,2.95396989398449,-1.30402329479543
3,0,1,3,2.11211153565911,2.91180688061971,0.725361132194864,3.0977309981245,-1.36675280979267
3,0,1,4,2.27731069183517,2.37263139214376,0.959824901320863,3.12023159736585,-1.41705434861431
3,0,1,5,2.78286551008498,2.57145139864698,1.0822158690416,3.19277256738506,-1.60712691337009
3,0,1,6,2.45347607195114,3.48612779689776,0.703782596304831,3.15085607499843,-1.5429793541108
3,0,1,7,1.7231517495322,2.95206406492815,0.583710824573225,3.10207624227879,-1.50324488227654
3,0,1,8,2.1342599219859,2.73380849968821,0.780691084335027,3.06849568254469,-1.29768660730534
3,0,2,1,2.14719126352757,2.73823499034793,0.784151568837684,3.45508050838341,-1.69752035102049
3,0,2,2,2.32386525776564,2.79588556865418,0.831173236780303,3.40778622184329,-1.65622611218989
3,0,2,3,2.5386950438991,2.93065905256702,0.86625397167078,3.47135147695545,-1.56859182906883
3,0,2,4,2.99620562944956,2.9136795641655,1.02832365861333,3.46199779543581,-1.59984201738487
3,0,2,5,2.86354525365262,2.78718599203081,1.02739654326627,3.5703886541709,-1.83533716409866
3,0,2,6,2.88068537310148,2.9172384203022,0.987469982931005,3.3948634245472,-1.68731091259105
3,0,2,7,2.39874798555235,2.89482504214831,0.828633147297976,3.47192270873753,-1.82088892066153
3,0,2,8,2.79657982991414,2.84372241972506,0.983422225220039,3.42606125820233,-1.54408436234523
4,1,1,1,0.343931190344335,2.99603610455607,0.114795409114503,1.38485608695021,-0.0965143284273203
4,1,1,2,0.321047202190505,3.15992763330458,0.101599542599259,1.32885560414907,-0.120019156026102
4,1,1,3,0.264645849966672,2.67023789633385,0.0991094652390418,1.3797423684635,-0.11936113253027
4,1,1,4,0.26495457290423,2.7516758914878,0.0962884377930759,1.34052483211028,-0.109638411174257
4,1,1,5,0.312425601336887,2.89358977976698,0.107971628708906,1.33876551151718,-0.0979624470963804
4,1,1,6,0.367315004035561,2.87964181528183,0.127555796032088,1.38809611825053,-0.127723372430243
4,1,1,7,0.276250026090591,2.68510492199134,0.102882395331396,1.36831670180933,-0.0918224654579698
4,1,1,8,0.282358301742785,2.75032073960581,0.102663772147264,1.3831690257161,-0.140537149188763
4,1,2,1,0.310016765352402,2.82471174808945,0.109751646539541,1.44887128584309,-0.134278727825782
4,1,2,2,0.295435457453946,2.96237898274248,0.0997291228350673,1.38962571270098,-0.157493883543367
4,1,2,3,0.293962424685343,2.79764471662779,0.105074966430934,1.44024960248833,-0.144102023629281
4,1,2,4,0.280561722123306,2.78925087587265,0.100586764908886,1.40245199780835,-0.145591216904453
