network,eta,condition,target,trial,fold,referenceK95,cueDistance,pregoDistance,convergence,foldMean
9,0.5,1,4,23,2,78,4.20296574130242,6.30251627340457,-0.499540244040043,-0.395230705829478
9,0.5,1,4,24,2,78,3.3914440420046,4.74181155933007,-0.398168892247829,-0.395230705829478
9,0.5,1,4,25,1,80,3.46927756611019,4.90226249147875,-0.413049950043418,-0.480142648488056
9,0.5,1,4,26,1,80,3.2865292615526,5.27078679568555,-0.603754713930514,-0.480142648488056
9,0.5,1,4,27,3,79,3.571229831881,5.89565440814009,-0.65087510064699,-0.423417486887076
9,0.5,1,4,28,1,80,3.0069001641208,4.47987576276113,-0.489865149570409,-0.480142648488056
9,0.5,1,4,29,3,79,3.02799616192226,4.00246078322113,-0.321818314551708,-0.423417486887076
9,0.5,1,4,30,2,78,3.62403971775819,5.91679652153896,-0.632652228546507,-0.395230705829478
9,0.5,1,5,1,2,81,3.64245499811449,4.69350048136277,-0.288554143782793,-0.541267550231505
9,0.5,1,5,2,2,81,3.93249622035565,5.77471801568308,-0.468461173793784,-0.541267550231505
9,0.5,1,5,3,2,81,4.04585686636615,4.47385488044205,-0.105786741403019,-0.541267550231505
9,0.5,1,5,4,2,81,3.03807741275186,5.87475661763089,-0.933708664885403,-0.541267550231505
9,0.5,1,5,5,2,81,3.14927671360631,5.12747525009724,-0.628143766454124,-0.541267550231505
9,0.5,1,5,6,1,81,3.51913864934116,5.40745224629225,-0.536584029533651,-0.467763473979227
9,0.5,1,5,7,3,82,3.46779128850262,5.56512886526005,-0.604805019180682,-0.3726004514393
9,0.5,1,5,8,1,81,3.90648966535947,4.78872324743378,-0.225837940875014,-0.467763473979227
9,0.5,1,5,9,1,81,2.95762831346874,4.7232897728562,-0.596985581774023,-0.467763473979227
9,0.5,1,5,10,3,82,3.9046909718675,4.91793105733551,-0.259493028454286,-0.3726004514393
9,0.5,1,5,11,3,82,4.2051242332801,5.53222156026891,-0.315590516086524,-0.3726004514393
9,0.5,1,5,12,2,81,2.73080281178414,4.95431384886374,-0.814233465515914,-0.541267550231505
9,0.5,1,5,13,1,81,3.33712695824849,5.55556620595713,-0.664775201981828,-0.467763473979227
9,0.5,1,5,14,3,82,3.67717862892686,4.62739981611995,-0.258410396415906,-0.3726004514393
9,0.5,1,5,15,1,81,4.11394076106631,4.95642188746625,-0.204786888127571,-0.467763473979227
9,0.5,1,5,16,3,82,3.32624205893405,4.93606308802918,-0.483975910523788,-0.3726004514393
9,0.5,1,5,17,1,81,3.02142842275647,3.93038252213346,-0.300835886937128,-0.467763473979227
9,0.5,1,5,18,1,81,3.17023155602452,4.66427383299613,-0.471272287392515,-0.467763473979227
9,0.5,1,5,19,3,82,3.90040161080384,5.13944895045939,-0.317671733142424,-0.3726004514393
9,0.5,1,5,20,2,81,3.42776653916853,5.2533854245584,-0.532597207111052,-0.541267550231505
9,0.5,1,5,21,2,81,3.13840666279399,5.46783140758607,-0.742231646525467,-0.541267550231505
9,0.5,1,5,22,3,82,3.64559211377959,4.59763244318288,-0.261148340157084,-0.3726004514393
9,0.5,1,5,23,3,82,3.18876232086215,5.36181348418148,-0.681471663504792,-0.3726004514393
9,0.5,1,5,24,1,81,3.39748052314983,5.70676439106237,-0.679704814252056,-0.467763473979227
9,0.5,1,5,25,2,81,3.48648130741848,5.62515154138532,-0.613417955064382,-0.541267550231505
9,0.5,1,5,26,2,81,3.77437740020494,4.85211590771627,-0.285540737779111,-0.541267550231505
9,0.5,1,5,27,3,82,4.29440629255926,5.02904515817327,-0.171068784732103,-0.3726004514393
9,0.5,1,5,28,1,81,3.50085401179084,5.16981721160265,-0.476730304717297,-0.467763473979227
9,0.5,1,5,29,3,82,3.45442770021942,4.74074991063764,-0.372369122195409,-0.3726004514393
9,0.5,1,5,30,1,81,3.29929987226154,5.01533767442295,-0.520121804201187,-0.467763473979227
9,0.5,1,6,1,2,76,3.24754938460573,4.9776835520131,-0.532750687521082,-0.381850863787137
9,0.5,1,6,2,1,74,3.66515715654815,5.01402237712639,-0.368023842625238,-0.246226353882058
9,0.5,1,6,3,3,76,3.42061713437816,6.20154388040656,-0.812989772541131,-0.437869692391425
9,0.5,1,6,4,2,76,3.56673494134342,5.29194160805566,-0.483693544679952,-0.381850863787137
9,0.5,1,6,5,2,76,3.44948129327889,5.20108181891592,-0.507786642893215,-0.381850863787137
9,0.5,1,6,6,3,76,2.83154045046459,4.84665093241175,-0.711665793655367,-0.437869692391425
9,0.5,1,6,7,2,76,3.38941920923138,4.85290608825875,-0.431781018718911,-0.381850863787137
