network,policy,PR,observed,expected,deficit,normalizedResidualVariance,meanEndpointRmsMM,medianMOms,medianPeakMs,medianPeakMps,separationToScatter,half1PR,half2PR,half1CaptureControlK,half2CaptureControlK,half1OntoHalf2,halfNull
6,3,5.88289092915946,0.310312868907764,0.54230973232347,0.231996863415706,0.119986595926159,17.5835511457957,46,196,0.287547444759703,5.85417052392452,5.8963353044528,5.91947884158502,0.996791633978895,0.996818937818903,0.983760417724026,0.187997699779236
6,4,6.78646933508153,0.303571888036046,0.54230973232347,0.238737844287424,0.129131431628547,27.0499046136841,64,227.5,0.24666033097124,4.03484419467196,6.78379651901109,6.83772404996286,0.996088338694812,0.996191085459901,0.979999307069512,0.13166086409223
7,1,3.48780213961307,1,0.525105199186607,-0.474894800813393,0.127818018760983,19.8001586633541,55,201,0.415045910553417,7.3690128343728,3.52547336181518,3.52739303494906,0.975088716226693,0.975144292388398,0.976463564314955,0.521283318126833
7,2,3.51064166968995,0.996655483868303,0.525105199186607,-0.471550284681695,0.140005996420409,31.3438494618173,55,200,0.416860630030823,4.63842688821275,3.55689022354146,3.54720102310155,0.973668359080141,0.974093717700658,0.974264609288912,0.520772423528684
7,3,5.96412093731563,0.31967334538383,0.525105199186607,0.205431853802777,0.127816975826411,19.58484617705,41,194,0.306460485311202,5.59129865726326,6.011884623088,5.96695902523765,0.996520458045356,0.996661485612056,0.981654033291014,0.186569196905068
7,4,6.75026426777402,0.318500299290023,0.525105199186607,0.206604899896585,0.139992255301785,30.6989526372755,54,212,0.240581209185816,3.28577907810442,6.79814807349897,6.75036485723474,0.9955764093481,0.995831218697956,0.976862208888631,0.134168563793407
8,1,3.56485670850732,0.999999999999999,0.533303168172414,-0.466696831827585,0.12472447970025,19.7064704674893,55,201,0.419199085593391,7.34554508416508,3.61444113962189,3.59605450565478,0.968414818116238,0.968029268249892,0.976322539103838,0.530197356541462
8,2,3.6024342216738,0.995729162332007,0.533303168172414,-0.462425994159593,0.136477483155483,28.821768869374,55,200,0.42025222975217,4.90786093933818,3.65030645509067,3.64178991440101,0.96743376397835,0.96705752552135,0.973732873255073,0.529275176213367
8,3,5.86148821284096,0.289093118585401,0.533303168172414,0.244210049587013,0.12473477687703,19.4953193804962,41,187,0.269112554955131,5.01045768623902,5.87498680627107,5.89909694844096,0.996472573613698,0.996450428069312,0.98244464140089,0.181918503450659
8,4,6.78064099840589,0.321403346392071,0.533303168172414,0.211899821780343,0.136492855559496,28.3057038376696,56,219,0.206559607846744,3.244800958228,6.80109418980583,6.80611957345327,0.9956221143572,0.995538689579585,0.977437934469672,0.134860153008055
9,1,3.26348969540811,1,0.546729004318698,-0.453270995681301,0.127135418423788,19.3601547646776,55.5,201,0.418389990266252,7.59851381854171,3.28015826508869,3.32111542311802,0.964611813391564,0.964010026447543,0.975885666182678,0.544357206285576
9,2,3.29349405654425,0.995961273235743,0.546729004318698,-0.449232268917045,0.139179450463462,29.5130667193187,55,201,0.418737182496986,5.06411010700671,3.31480533925813,3.35189805502093,0.963617922385124,0.963351864608253,0.973861214394574,0.543412104304063
9,3,5.52943129894406,0.331216238374789,0.546729004318698,0.215512765943909,0.127178487145632,19.2528043667646,42,186,0.298494001660215,4.98466323120592,5.55645593096313,5.55550452630279,0.996529088081198,0.996354085446202,0.982078793106062,0.204205373488728
9,4,6.70869459802664,0.331499742584468,0.546729004318698,0.21522926173423,0.139233820014035,28.9614039093221,55.5,205,0.211252464667128,2.65592863681299,6.73622583926351,6.73288983916895,0.995538765235158,0.995476502264844,0.977206894674335,0.134147107220179
10,1,3.38395520287261,1,0.515562706561063,-0.484437293438937,0.135193514591588,22.6867703417239,56,201,0.415389059459484,6.33017641806135,3.41711633730642,3.42692350536184,0.953909848882436,0.952677829889416,0.983643040553686,0.514526069677147
10,2,3.39749506884097,0.996435839982065,0.515562706561063,-0.480873133421002,0.146637995228264,35.4864214892953,56,200,0.416611456523894,4.02670762017742,3.43292683965695,3.44460661352871,0.952021202444885,0.951935047282531,0.98252367278552,0.51405684283974
10,3,6.00575577617672,0.329787922756775,0.515562706561063,0.185774783804288,0.13521670926103,22.4759090209427,44,194.5,0.268448296128587,4.26349363932701,6.03838918548737,6.02821571926656,0.996154285239837,0.99666150111421,0.982724876228623,0.182864019587537
10,4,6.73665697912811,0.333911978863418,0.515562706561063,0.181650727697646,0.146665220552869,34.8699370300522,63,227,0.218004210574851,2.5815852681168,6.76414953829235,6.76592012759802,0.995436143286203,0.995967603495605,0.979177951676415,0.135211951958511
