network,policy,target,endpointRmsMM,medianMOms,medianPeakMs,medianPeakSpeedMps,nearZero,boundaryPeak,missingWindow
4,2,2,29.0853779056571,56,196.5,0.4130819131823,0,0,0
4,2,3,29.3102078541118,54,199.5,0.40588646234154,0,0,0
4,2,4,27.2851035844913,57,201,0.433913557265016,0,0,0
4,2,5,32.9260522822698,56,201,0.419062431195892,0,0,0
4,2,6,30.3973692531861,56,199.5,0.396640553499572,0,0,0
4,2,7,27.3145205870988,53.5,200,0.411972550934099,0,0,0
4,2,8,26.9332705806614,55,197,0.408410239593047,0,0,0
4,3,1,23.362093348269,40.5,182.5,0.2059464069369,0,0,0
4,3,2,19.9122954660502,42.5,191,0.355331499085135,0,0,0
4,3,3,19.5946804922208,30,166,0.237167911269925,0,0,0
4,3,4,17.6613372988543,29,172,0.267692446429473,0,0,0
4,3,5,20.128214114545,53.5,200,0.185885638821294,0,0,0
4,3,6,20.3840578199423,48,192.5,0.346579768493526,0,0,0
4,3,7,20.7731780082648,39,186,0.321943312417404,0,0,0
4,3,8,20.0360279633207,35.5,177.5,0.283187282981924,0,0,0
4,4,1,32.9386794695145,51.5,205.5,0.170219567919133,0,0,0
4,4,2,26.1903605672948,51.5,199,0.276680083454131,0,0,0
4,4,3,27.2923739574049,62.5,490,0.278200020044439,0,0,0
4,4,4,24.8335292932619,31,172.5,0.201318013291895,0,0,0
4,4,5,30.5389595345287,72.5,213,0.160241769443437,0,1,0
4,4,6,30.0929415920437,53,187.5,0.264763837106781,0,0,0
4,4,7,27.5760524929617,43,188,0.172133337637008,0,0,0
4,4,8,26.7752670819512,41,176.5,0.187680758210538,0,0,0
5,1,1,17.5658155112718,56.5,200,0.415179088106765,0,0,0
5,1,2,22.2025844230678,56,200,0.419412699346285,0,0,0
5,1,3,22.9861183497148,54,204,0.423504750587201,0,0,0
5,1,4,20.7155309838612,57,201,0.399844063700137,0,0,0
5,1,5,17.7546680359228,57,199,0.413578929397656,0,0,0
5,1,6,19.0296204312349,54,201,0.410857761504246,0,0,0
5,1,7,23.5074873382157,55.5,203.5,0.417065888395628,0,0,0
5,1,8,18.1552813528057,56,199,0.41371529376269,0,0,0
5,2,1,26.8264439172866,58.5,199.5,0.405841010218895,0,0,0
5,2,2,33.2786899036102,55,200,0.429566297317144,0,0,0
5,2,3,35.6135111963055,54,204.5,0.426887109621208,0,0,0
5,2,4,32.6287181793947,56.5,203,0.390490688369022,0,0,0
5,2,5,26.435743314281,56,200,0.424638557046534,0,0,0
5,2,6,32.5851668355578,54,201,0.415207051839807,0,0,0
5,2,7,38.5911526212613,56,206,0.421243119049394,0,0,0
5,2,8,27.4886388666866,55.5,199,0.413612119246967,0,0,0
5,3,1,18.0689157806842,43.5,180,0.318612032138386,0,0,0
5,3,2,20.9185632453334,43,197,0.316572370836521,0,0,0
5,3,3,22.717850689304,43,192.5,0.30824227974096,0,0,0
5,3,4,20.6159795236829,42,196.5,0.305223550963615,0,0,0
5,3,5,17.6411411059322,46.5,188.5,0.25245041205103,0,0,0
5,3,6,18.9284581456933,39,185,0.278436703564056,0,0,0
5,3,7,22.9340346827956,45,197,0.303882623204631,0,0,0
